Species,Estimate,pvalue,padj,highlight
Ruminococcus lactaris,-1.94,0.6474619,0.99958523,
Coprococcus comes,-2.46,0.65077164,0.99958523,
Ruminococcus sp 5 1 39BFAA,1.56,0.65224428,0.99958523,
Megasphaera elsdenii,-1.59,0.65309839,0.99958523,
Alistipes putredinis,-0.04,0.66867911,0.99958523,
Coriobacteriaceae bacterium phI,0.98,0.67469879,0.99958523,
Collinsella intestinalis,-8.41,0.6924537,0.99958523,
Desulfovibrio desulfuricans,1.68,0.69365649,0.99958523,
Lachnospiraceae bacterium 1 1 57FAA,-2.29,0.69380246,0.99958523,
Lactobacillus crispatus,-0.47,0.71482509,0.99958523,
Dialister succinatiphilus,-1.70,0.7184392,0.99958523,
Ruminococcus bromii,0.09,0.72661364,0.99958523,
Parabacteroides distasonis,-0.07,0.72672971,0.99958523,
Bacteroides barnesiae,-1.79,0.72774556,0.99958523,
Megamonas rupellensis,1.15,0.72855858,0.99958523,
Subdoligranulum sp 4 3 54A2FAA,-0.88,0.73424426,0.99958523,
Barnesiella intestinihominis,0.11,0.73523235,0.99958523,
Bacteroides eggerthii,-0.03,0.73564713,0.99958523,
Bacteroides faecis,-0.32,0.7373267,0.99958523,
Eubacterium cylindroides,-1.33,0.73826662,0.99958523,
Bacteroides salyersiae,-0.18,0.74300422,0.99958523,
Klebsiella phage KP36,-0.02,0.7443408,0.99958523,
Coprococcus eutactus,-6.80,0.74444606,0.99958523,
Clostridium clostridioforme,0.78,0.7446352,0.99958523,
Bacteroides clarus,-0.10,0.74920187,0.99958523,
Catenibacterium mitsuokai,1.13,0.75077649,0.99958523,
Bacteroides dorei,-0.03,0.75120371,0.99958523,
Lachnospiraceae bacterium 3 1 57FAA CT1,-0.81,0.75156819,0.99958523,
Coprococcus sp ART55 1,0.39,0.754084,0.99958523,
Lactobacillus gasseri,-1.16,0.75650599,0.99958523,
Phascolarctobacterium succinatutens,-0.36,0.77316777,0.99958523,
Clostridium symbiosum,-2.14,0.78807772,0.99958523,
Dialister invisus,-0.85,0.7905529,0.99958523,
Eubacterium eligens,0.23,0.79674253,0.99958523,
Bacteroides stercoris,-0.02,0.79906983,0.99958523,
Butyrivibrio crossotus,-19.11,0.800581,0.99958523,
Streptococcus gallolyticus,1.49,0.80246129,0.99958523,
Methanobrevibacter smithii,0.32,0.80639928,0.99958523,
Bacteroides plebeius,0.04,0.80761108,0.99958523,
Megamonas hypermegale,-0.46,0.81532353,0.99958523,
Enterobacter cloacae,-0.22,0.81622219,0.99958523,
Klebsiella oxytoca,0.76,0.82943608,0.99958523,
Alistipes sp AP11,0.13,0.83596657,0.99958523,
Bacteroides sp 3 2 5,0.07,0.83684009,0.99958523,
Bacteroides sp 2 1 22,-1.48,0.84465012,0.99958523,
Bacteroides uniformis,-0.02,0.84787393,0.99958523,
Alistipes sp HGB5,-0.27,0.84859729,0.99958523,
Weissella cibaria,-1.19,0.8512361,0.99958523,
Lactobacillus salivarius,-0.39,0.86067208,0.99958523,
Clostridium hathewayi,-0.27,0.86803882,0.99958523,
Clostridium bolteae,-0.22,0.86859463,0.99958523,
Enterobacter hormaechei,-1.60,0.87204477,0.99958523,
Bacteroides fragilis,0.01,0.87804554,0.99958523,
Dorea formicigenerans,1.24,0.89138408,0.99958523,
Burkholderiales bacterium 1 1 47,1.50,0.895216,0.99958523,
Bacteroides ovatus,0.01,0.90095911,0.99958523,
Parasutterella excrementihominis,0.66,0.92056886,0.99958523,
Paraprevotella clara,-0.32,0.92109364,0.99958523,
Citrobacter freundii,-0.37,0.9218635,0.99958523,
Anaerostipes hadrus,1.23,0.92224809,0.99958523,
Alistipes onderdonkii,0.01,0.9228714,0.99958523,
Ruminococcus torques,-0.03,0.92321043,0.99958523,
Eubacterium biforme,-0.16,0.92849091,0.99958523,
Oscillibacter sp KLE 1745,-0.51,0.9293922,0.99958523,
Streptococcus vestibularis,-0.31,0.92940813,0.99958523,
Alistipes indistinctus,0.05,0.94054588,0.99958523,
Bifidobacterium catenulatum,-0.12,0.94856918,0.99958523,
Clostridium asparagiforme,0.09,0.95007555,0.99958523,
Clostridium leptum,0.39,0.95366723,0.99958523,
Parabacteroides johnsonii,-0.06,0.95928281,0.99958523,
Ruminococcus callidus,0.08,0.96237436,0.99958523,
Bacteroides coprocola,-0.01,0.97517383,0.99958523,
Sutterella wadsworthensis,-0.01,0.98052171,0.99958523,
Flavonifractor plautii,0.07,0.98179107,0.99958523,
Coprobacter fastidiosus,-0.04,0.9840451,0.99958523,
Lachnospiraceae bacterium 1 4 56FAA,0.53,0.98435842,0.99958523,
Prevotella buccae,0.00,0.9852055,0.99958523,
Bacteroides cellulosilyticus,0.00,0.98572662,0.99958523,
Ruminococcaceae bacterium D16,0.08,0.98723011,0.99958523,
Adlercreutzia equolifaciens,0.27,0.98883276,0.99958523,
Bacteroides thetaiotaomicron,0.00,0.99027055,0.99958523,
Fusobacterium varium,-0.09,0.9908574,0.99958523,
Lachnospiraceae bacterium 8 1 57FAA,0.04,0.99396607,0.99958523,
Lachnospiraceae bacterium 2 1 58FAA,-0.27,0.99429808,0.99958523,
Odoribacter splanchnicus,0.00,0.99497283,0.99958523,
Eubacterium rectale,0.00,0.9985236,0.99958523,
Weissella confusa,-0.05,0.9985415,0.99958523,
Akkermansia muciniphila,0.00,0.99958523,0.99958523,
