sample	ID	meancov	Completeness	Contamination	CheckMStatus	Size	#Contigs	Contig_N50	Longest_contig	16S_rRNA	23S_rRNA	5S_rRNA	tRNAKind	tRNAUniqueStrict	pass.GUNC	RNAPASS	MIMAG
MBE033	MBE033.bin.28.fa	13.902509168502284	65.77	0.11	MEDIUM	1741015	338	5446	16370	0	0	0	bact	7.0	True	False	MEDIUM
MBE033	MBE033.bin.29.fa	29.171109348268644	8.64	0.01	LOW	313887	33	12379	41148	0	0	0	bact	0.0	True	False	LOW
MBE033	MBE033.bin.3.fa	9.93350807613663	12.73	0.0	LOW	364345	108	3339	6519	0	0	0	bact	1.0	True	False	LOW
MBE033	MBE033.bin.30.fa	20.36447717218033	91.25	0.08	HIGH	1786592	230	9733	46605	0	0	1	bact	15.0	False	False	NEARCOMPLETE
MBE033	MBE033.bin.31.fa	21.71872248204109	69.13	2.57	MEDIUM	1475173	221	8161	50303	0	0	1	bact	15.0	True	False	MEDIUM
MBE033	MBE033.bin.32.fa	112.4516808187032	52.6	0.29	MEDIUM	1119038	39	42616	154967	0	0	1	bact	17.0	True	False	MEDIUM
MBE033	MBE033.bin.33.fa	20.289798473646552	81.1	1.08	MEDIUM	1878464	224	10164	42899	0	0	1	bact	9.0	True	False	MEDIUM
MBE033	MBE033.bin.34.fa	16.069491336929776	97.69	100.73	LOW	12651577	2374	5773	35141	0	0	0	bact	18.0	False	False	LOW
MBE033	MBE033.bin.35.fa	8.800478763695699	28.67	0.04	LOW	650843	169	3850	9256	0	0	0	bact	6.0	False	False	LOW
MBE033	MBE033.bin.36.fa	12.034431866243605	50.35	0.01	MEDIUM	1130174	246	4931	14760	0	0	0	bact	8.0	False	False	MEDIUM
MBE033	MBE033.bin.37.fa	11.026596536376688	47.2	0.08	LOW	833116	181	4786	10387	0	0	0	bact	3.0	True	False	LOW
MBE033	MBE033.bin.38.fa	10.516061807227622	20.89	0.01	LOW	651639	177	3696	11266	0	0	0	bact	1.0	True	False	LOW
MBE033	MBE033.bin.39.fa	21.832948146499504	81.97	1.01	MEDIUM	1509657	244	7089	23726	0	0	0	bact	13.0	True	False	MEDIUM
MBE033	MBE033.bin.4.fa	36.06251461278515	86.78	0.8	MEDIUM	3130820	189	21693	126874	0	0	1	bact	15.0	True	False	MEDIUM
MBE033	MBE033.bin.40.fa	46.21076274847428	56.61	6.41	MEDIUM	1474549	162	11393	37210	0	0	2	bact	16.0	True	False	MEDIUM
MBE033	MBE033.bin.41.fa	15.29493848059536	70.98	1.2	MEDIUM	1528217	256	6674	33345	0	0	0	bact	13.0	True	False	MEDIUM
MBE033	MBE033.bin.42.fa	20.37873293572469	71.15	4.07	MEDIUM	1867498	206	11328	56193	0	0	0	bact	14.0	True	False	MEDIUM
MBE033	MBE033.bin.43.fa	8.164023924090479	11.71	0.0	LOW	444740	132	3245	6575	0	0	0	bact	0.0	False	False	LOW
MBE033	MBE033.bin.44.fa	78.61339141223733	49.68	3.51	LOW	897859	24	55907	150456	0	0	0	bact	11.0	True	False	LOW
MBE033	MBE033.bin.45.fa	176.23108283379355	4.5	0.06	LOW	269081	25	19313	44274	0	0	0	bact	4.0	True	False	LOW
MBE033	MBE033.bin.46.fa	11.83247546581062	40.12	0.07	LOW	1135762	259	4365	14241	0	0	0	bact	5.0	True	False	LOW
MBE033	MBE033.bin.47.fa	33.7577582642903	99.55	0.22	HIGH	1976183	75	41178	186905	1	0	0	bact	19.0	True	False	NEARCOMPLETE
MBE033	MBE033.bin.48.fa	22.35707447856465	76.45	1.48	MEDIUM	1944009	145	18624	50738	0	0	0	bact	8.0	False	False	MEDIUM
MBE033	MBE033.bin.49.fa	21.94776853554209	86.49	1.07	MEDIUM	1705696	159	14479	48863	0	0	1	bact	16.0	True	False	MEDIUM
MBE033	MBE033.bin.5.fa	9.553769354429308	29.34	0.03	LOW	543674	149	3540	7936	0	0	0	bact	2.0	True	False	LOW
MBE033	MBE033.bin.50.fa	11.961609796922136	20.8	0.04	LOW	679887	172	3995	13637	0	0	0	bact	1.0	True	False	LOW
MBE033	MBE033.bin.51.fa	11.758664690363428	63.88	0.09	MEDIUM	1624582	310	5820	17461	0	0	0	bact	9.0	True	False	MEDIUM
MBE033	MBE033.bin.52.fa	21.7674902032389	55.36	0.12	MEDIUM	996758	70	21652	44670	0	0	0	bact	8.0	False	False	MEDIUM
MBE033	MBE033.bin.53.fa	117.26375398522944	95.61	9.75	MEDIUM	2477900	259	11279	52444	0	0	3	bact	18.0	False	False	MEDIUM
MBE033	MBE033.bin.54.fa	270.7631636371361	77.9	0.22	MEDIUM	2071388	32	105349	253848	0	0	0	bact	18.0	True	False	MEDIUM
MBE033	MBE033.bin.55.fa	41.62944017345201	95.53	0.08	HIGH	1924221	62	53212	113749	1	0	0	bact	18.0	True	False	NEARCOMPLETE
MBE033	MBE033.bin.56.fa	32.37212417752022	65.94	18.89	LOW	2340939	385	6673	30390	0	0	2	bact	14.0	True	False	LOW
MBE033	MBE033.bin.57.fa	45.20312339985036	99.94	1.32	HIGH	2167766	80	44533	168645	0	0	2	bact	19.0	True	False	NEARCOMPLETE
MBE033	MBE033.bin.58.fa	24.35189319153	92.06	0.47	HIGH	2000141	175	14996	56147	0	0	0	bact	16.0	True	False	NEARCOMPLETE
MBE033	MBE033.bin.59.fa	44.70582370592858	66.19	2.88	MEDIUM	1430292	190	9511	37458	0	0	0	bact	13.0	True	False	MEDIUM
MBE033	MBE033.bin.6.fa	31.72766371475181	91.25	0.58	HIGH	2574600	118	29292	101991	0	0	2	bact	18.0	True	False	NEARCOMPLETE
MBE033	MBE033.bin.60.fa	19.56845309527548	73.54	5.03	MEDIUM	2312379	307	9192	44907	0	0	0	bact	8.0	True	False	MEDIUM
MBE033	MBE033.bin.61.fa	127.27487022608037	96.92	5.38	MEDIUM	2774633	27	189948	450288	0	0	0	bact	18.0	True	False	MEDIUM
MBE033	MBE033.bin.62.fa	28.74033536111341	77.72	3.61	MEDIUM	1427834	226	7754	30552	0	0	1	bact	11.0	True	False	MEDIUM
MBE033	MBE033.bin.63.fa	13.704046518089266	70.76	2.43	MEDIUM	1763615	325	5957	17915	0	0	0	bact	5.0	False	False	MEDIUM
MBE033	MBE033.bin.64.fa	24.93393354613012	82.4	0.12	MEDIUM	2245648	214	13500	44760	0	0	0	bact	15.0	True	False	MEDIUM
MBE033	MBE033.bin.65.fa	30.66819905107624	24.72	0.0	LOW	583187	22	40980	62473	0	0	1	bact	2.0	True	False	LOW
MBE033	MBE033.bin.66.fa	20.323302082702	8.03	0.02	LOW	313487	48	8565	16477	0	0	0	bact	6.0	False	False	LOW
MBE033	MBE033.bin.67.fa	13.751765355259902	4.44	0.0	LOW	210156	49	4067	18798	0	0	0	bact	1.0	True	False	LOW
MBE033	MBE033.bin.68.fa	23.49607282777382	82.92	1.89	MEDIUM	2764330	223	16455	77948	0	0	0	bact	15.0	True	False	MEDIUM
MBE033	MBE033.bin.69.fa	23.38254552350702	93.3	0.99	HIGH	1972113	175	14424	38765	0	0	0	bact	18.0	True	False	NEARCOMPLETE
MBE033	MBE033.bin.7.fa	10.92843831399689	17.9	1.24	LOW	563961	149	3656	9662	0	0	0	bact	0.0	False	False	LOW
MBE033	MBE033.bin.70.fa	11.008875465517344	32.75	0.02	LOW	669148	173	3688	16861	0	0	0	bact	5.0	True	False	LOW
MBE033	MBE033.bin.71.fa	42.39912447330248	67.93	0.0	MEDIUM	1505608	49	62838	150573	0	0	1	bact	18.0	True	False	MEDIUM
MBE033	MBE033.bin.72.fa	124.14394306335387	90.15	4.74	HIGH	2622002	87	45924	116668	0	0	2	bact	17.0	True	False	NEARCOMPLETE
MBE033	MBE033.bin.73.fa	64.76535778244313	67.12	3.39	MEDIUM	1568537	283	6165	21141	0	0	1	bact	11.0	True	False	MEDIUM
MBE033	MBE033.bin.74.fa	51.30987674014922	86.11	0.19	MEDIUM	2751991	66	68201	141867	0	0	0	bact	18.0	False	False	MEDIUM
MBE033	MBE033.bin.75.fa	31.95190872933147	91.95	3.63	HIGH	1947526	176	15832	59110	0	0	0	bact	13.0	False	False	NEARCOMPLETE
MBE033	MBE033.bin.8.fa	24.00815400812123	91.21	0.38	HIGH	4118588	337	17207	70672	0	0	1	bact	17.0	True	False	NEARCOMPLETE
MBE033	MBE033.bin.9.fa	191.12952525083	99.76	1.39	HIGH	3515330	61	103536	241569	0	0	3	bact	17.0	True	False	NEARCOMPLETE
MBE034	MBE034.bin.1.fa	2642.6779053112086	50.86	0.38	MEDIUM	1045826	7	260943	393506	0	1	2	bact	17.0	True	False	MEDIUM
MBE034	MBE034.bin.10.fa	60.11443252275426	77.68	0.0	MEDIUM	1761868	37	68852	149979	0	0	1	bact	18.0	True	False	MEDIUM
MBE034	MBE034.bin.11.fa	24.437764744725417	95.55	2.42	HIGH	2880369	203	22107	92535	0	0	0	bact	13.0	True	False	NEARCOMPLETE
MBE034	MBE034.bin.12.fa	175.4873913648748	6.96	0.06	LOW	301698	33	18049	51006	0	0	0	bact	0.0	True	False	LOW
MBE034	MBE034.bin.13.fa	23.85856456201584	91.58	0.4	HIGH	2453091	140	27038	85661	0	0	0	bact	20.0	True	False	NEARCOMPLETE
MBE034	MBE034.bin.14.fa	68.56734064385716	92.43	1.27	HIGH	2041167	15	213898	321951	0	0	2	bact	17.0	True	False	NEARCOMPLETE
MBE034	MBE034.bin.15.fa	18.86942295259024	91.57	4.56	HIGH	3473926	466	9053	52333	0	0	0	bact	7.0	False	False	NEARCOMPLETE
MBE034	MBE034.bin.16.fa	83.40222080443276	86.23	1.25	MEDIUM	2710009	57	90000	197229	0	0	0	bact	16.0	True	False	MEDIUM
MBE034	MBE034.bin.17.fa	35.19727438137608	96.48	15.87	LOW	4189581	227	29307	127686	0	0	0	bact	15.0	False	False	LOW
MBE034	MBE034.bin.18.fa	1801.999980983962	52.61	0.22	MEDIUM	1104331	6	169532	329510	0	0	1	bact	11.0	True	False	MEDIUM
MBE034	MBE034.bin.19.fa	11.039094601652916	30.56	1.92	LOW	1568017	383	4209	14280	0	0	0	bact	4.0	False	False	LOW
MBE034	MBE034.bin.2.fa	47.58158297971643	13.63	0.01	LOW	582787	19	38659	120218	0	0	0	bact	9.0	True	False	LOW
MBE034	MBE034.bin.20.fa	9.058756321408504	10.91	0.0	LOW	266950	71	3916	7764	0	0	0	bact	0.0	True	False	LOW
MBE034	MBE034.bin.21.fa	29.717262835510123	67.55	3.09	MEDIUM	1608409	156	13893	47793	0	0	0	bact	16.0	True	False	MEDIUM
MBE034	MBE034.bin.22.fa	32.06532210433282	79.02	0.22	MEDIUM	2353430	86	38152	139705	0	0	0	bact	16.0	True	False	MEDIUM
MBE034	MBE034.bin.23.fa	273.792300156293	99.93	12.71	LOW	4121746	138	57341	230885	0	0	0	bact	17.0	True	False	LOW
MBE034	MBE034.bin.24.fa	20.2587778250956	99.96	6.75	MEDIUM	3606816	393	13486	66209	0	0	0	bact	14.0	False	False	MEDIUM
MBE034	MBE034.bin.25.fa	240.35716234195488	99.93	0.53	HIGH	2390140	29	133792	306611	0	0	2	bact	20.0	True	False	NEARCOMPLETE
MBE034	MBE034.bin.26.fa	26.2726104275617	19.35	0.0	LOW	486269	26	30819	53923	0	0	2	arch	13.0	True	False	LOW
MBE034	MBE034.bin.27.fa	51.80976918615283	87.03	1.85	MEDIUM	2291327	49	57696	163378	0	0	1	bact	16.0	True	False	MEDIUM
MBE034	MBE034.bin.28.fa	40.86921524097906	11.84	0.0	LOW	277410	14	63173	81638	0	0	0	bact	3.0	False	False	LOW
MBE034	MBE034.bin.29.fa	36.91676173137304	99.56	4.33	HIGH	4034971	249	29977	192659	0	0	0	arch	19.0	False	False	NEARCOMPLETE
MBE034	MBE034.bin.3.fa	44.886124072303126	20.63	0.0	LOW	467421	9	113354	162289	0	0	1	bact	6.0	True	False	LOW
MBE034	MBE034.bin.30.fa	49.18435325781462	22.12	0.02	LOW	537262	8	110961	134287	0	0	0	arch	5.0	True	False	LOW
MBE034	MBE034.bin.31.fa	8.880885793357036	13.34	0.0	LOW	411202	106	3934	10090	0	0	0	bact	8.0	True	False	LOW
MBE034	MBE034.bin.32.fa	103.29491637209355	99.98	0.65	HIGH	3284131	36	142490	369650	0	1	1	bact	20.0	True	False	NEARCOMPLETE
MBE034	MBE034.bin.33.fa	10.778845365263567	16.38	0.0	LOW	390184	107	3594	8720	0	0	0	bact	0.0	True	False	LOW
MBE034	MBE034.bin.34.fa	70.51036365611075	76.43	0.0	MEDIUM	1408721	18	128480	170028	0	0	2	bact	17.0	True	False	MEDIUM
MBE034	MBE034.bin.35.fa	28.900239230245933	82.81	1.16	MEDIUM	1991805	108	38005	121061	0	0	1	bact	13.0	True	False	MEDIUM
MBE034	MBE034.bin.36.fa	18.26844452773761	80.49	0.42	MEDIUM	2529219	308	11289	43992	0	0	0	bact	17.0	False	False	MEDIUM
MBE034	MBE034.bin.37.fa	12.768403143283802	62.48	0.34	MEDIUM	1388866	268	5555	17878	0	0	0	bact	7.0	True	False	MEDIUM
MBE034	MBE034.bin.38.fa	28.93167911361828	82.16	1.09	MEDIUM	1906357	107	37374	121061	0	0	1	bact	13.0	True	False	MEDIUM
MBE034	MBE034.bin.39.fa	12.774767573995485	62.34	0.34	MEDIUM	1382483	266	5555	17878	0	0	0	bact	7.0	True	False	MEDIUM
MBE034	MBE034.bin.4.fa	21.724612837966976	97.19	0.05	HIGH	1512093	51	40388	119201	1	1	0	bact	19.0	True	False	NEARCOMPLETE
MBE034	MBE034.bin.5.fa	14.151177442451614	83.53	0.09	MEDIUM	2198324	333	7950	38150	0	0	0	arch	16.0	False	False	MEDIUM
MBE034	MBE034.bin.6.fa	10.775190216305129	89.48	40.14	LOW	4328099	1020	4245	18516	0	0	0	bact	14.0	False	False	LOW
MBE034	MBE034.bin.7.fa	54.04631095584809	82.16	0.17	MEDIUM	1920755	61	46425	98226	0	0	1	bact	17.0	True	False	MEDIUM
MBE034	MBE034.bin.8.fa	9.24290298283382	34.13	0.03	LOW	785964	208	3816	9067	0	0	0	bact	10.0	True	False	LOW
MBE034	MBE034.bin.9.fa	17.64552661490836	66.97	16.7	LOW	2074514	310	8007	32604	0	0	0	bact	11.0	False	False	LOW
MBE035	MBE035.bin.1.fa	34.67433669540749	11.4	0.0	LOW	210386	50	4073	10306	0	0	0	bact	2.0	True	False	LOW
MBE035	MBE035.bin.10.fa	28.252277062495967	78.28	8.73	MEDIUM	3238273	600	6090	19525	0	0	0	bact	14.0	False	False	MEDIUM
MBE035	MBE035.bin.11.fa	16.211296542153043	64.17	22.16	LOW	4702377	1135	4201	14273	0	0	0	bact	10.0	False	False	LOW
MBE035	MBE035.bin.12.fa	23.536083737513884	11.28	0.0	LOW	252981	72	3467	8305	0	0	0	bact	1.0	False	False	LOW
MBE035	MBE035.bin.13.fa	20.289211423705844	73.94	0.71	MEDIUM	1437502	251	6760	24230	0	0	0	bact	4.0	True	False	MEDIUM
MBE035	MBE035.bin.14.fa	261.745698738968	89.68	0.7	MEDIUM	2622138	55	67536	265154	0	0	0	bact	19.0	True	False	MEDIUM
MBE035	MBE035.bin.15.fa	58.31171697942163	5.45	0.03	LOW	220620	17	20648	24731	0	0	0	bact	2.0	True	False	LOW
MBE035	MBE035.bin.16.fa	14.254861019002831	58.02	0.74	MEDIUM	2284449	515	4634	15032	0	0	0	bact	12.0	False	False	MEDIUM
MBE035	MBE035.bin.17.fa	14.15445976859412	16.02	0.01	LOW	287201	85	3261	5519	0	0	0	bact	1.0	True	False	LOW
MBE035	MBE035.bin.18.fa	122.09243183143376	91.72	0.12	HIGH	3037287	87	59893	171284	0	0	0	bact	18.0	True	False	NEARCOMPLETE
MBE035	MBE035.bin.19.fa	29.33546702486288	70.41	25.54	LOW	2535668	481	5607	21332	0	0	1	bact	11.0	True	False	LOW
MBE035	MBE035.bin.2.fa	19.646096122563712	83.45	41.81	LOW	4674532	1017	4745	19888	0	0	0	bact	14.0	False	False	LOW
MBE035	MBE035.bin.20.fa	22.32107272091297	56.61	0.28	MEDIUM	977738	204	5227	17611	0	0	0	bact	5.0	True	False	MEDIUM
MBE035	MBE035.bin.21.fa	36.43371609726324	95.66	90.31	LOW	7366072	1042	8624	45889	0	0	0	bact	16.0	False	False	LOW
MBE035	MBE035.bin.22.fa	62.51810385274824	100.0	91.39	LOW	7453303	543	20139	131369	0	0	1	bact	19.0	True	False	LOW
MBE035	MBE035.bin.23.fa	8.62205272427703	9.84	0.0	LOW	281616	85	3204	6821	0	0	0	bact	2.0	False	False	LOW
MBE035	MBE035.bin.24.fa	18.56613514937572	18.45	0.01	LOW	556081	123	4742	9732	0	0	0	bact	1.0	True	False	LOW
MBE035	MBE035.bin.25.fa	35.60896973339477	100.0	71.49	LOW	4279436	173	38365	137367	0	0	1	bact	19.0	True	False	LOW
MBE035	MBE035.bin.26.fa	24.593151536545747	77.49	0.28	MEDIUM	2359741	352	7780	33066	0	0	0	bact	8.0	True	False	MEDIUM
MBE035	MBE035.bin.27.fa	73.4470601204614	14.58	0.43	LOW	598698	75	10102	43539	0	0	0	bact	4.0	True	False	LOW
MBE035	MBE035.bin.28.fa	15.838726702409822	30.64	1.05	LOW	668846	185	3551	9308	0	0	0	bact	0.0	False	False	LOW
MBE035	MBE035.bin.29.fa	36.34151963235469	5.95	0.19	LOW	209985	24	9483	21799	0	0	0	bact	1.0	True	False	LOW
MBE035	MBE035.bin.3.fa	57.356852180347	6.78	0.16	LOW	210838	18	16749	32181	0	0	0	bact	1.0	False	False	LOW
MBE035	MBE035.bin.30.fa	14.21551748682784	72.46	3.44	MEDIUM	2599042	458	6507	25314	0	0	0	bact	12.0	False	False	MEDIUM
MBE035	MBE035.bin.31.fa	67.89975127265268	94.23	1.07	HIGH	2963888	146	32846	120080	0	0	0	bact	14.0	False	False	NEARCOMPLETE
MBE035	MBE035.bin.32.fa	151.64223269526946	95.16	78.26	LOW	4365916	373	17122	96549	0	0	3	bact	19.0	True	False	LOW
MBE035	MBE035.bin.33.fa	67.18887138980213	88.04	1.06	MEDIUM	2307422	122	26583	55804	0	0	2	bact	15.0	False	False	MEDIUM
MBE035	MBE035.bin.34.fa	19.261405445716168	11.37	0.05	LOW	343279	95	3559	7198	0	0	0	bact	1.0	True	False	LOW
MBE035	MBE035.bin.35.fa	27.09608349037656	68.94	2.1	MEDIUM	1854585	273	7817	29239	0	0	0	bact	12.0	True	False	MEDIUM
MBE035	MBE035.bin.36.fa	16.147624351158033	21.76	0.16	LOW	693158	182	3804	11437	0	0	0	bact	2.0	False	False	LOW
MBE035	MBE035.bin.37.fa	87.50757569461183	6.3	0.06	LOW	240638	36	7263	34763	0	0	1	bact	3.0	True	False	LOW
MBE035	MBE035.bin.38.fa	87.85652616575035	43.49	0.0	LOW	982200	22	62552	113184	0	0	1	bact	7.0	True	False	LOW
MBE035	MBE035.bin.39.fa	15.17198387027828	9.3	0.0	LOW	280724	83	3203	7969	0	0	0	bact	4.0	True	False	LOW
MBE035	MBE035.bin.4.fa	18.964396165405464	28.28	0.06	LOW	596256	124	5091	13065	0	0	0	bact	8.0	True	False	LOW
MBE035	MBE035.bin.40.fa	39.85959900029405	87.2	1.46	MEDIUM	2309079	263	10546	33670	0	0	0	bact	14.0	False	False	MEDIUM
MBE035	MBE035.bin.41.fa	31.637981457933456	19.06	0.54	LOW	957067	214	4493	15820	0	0	0	bact	10.0	False	False	LOW
MBE035	MBE035.bin.42.fa	18.52043473254972	78.34	1.07	MEDIUM	1624171	277	6554	20831	0	0	0	bact	10.0	True	False	MEDIUM
MBE035	MBE035.bin.43.fa	12.089454059015312	25.52	0.55	LOW	678773	183	3590	9214	0	0	0	bact	0.0	True	False	LOW
MBE035	MBE035.bin.44.fa	236.04299326755395	83.36	10.86	LOW	2377442	108	36659	140857	0	0	4	bact	18.0	True	False	LOW
MBE035	MBE035.bin.45.fa	51.99932499849007	92.49	1.98	HIGH	2069625	73	49698	97980	0	0	0	bact	17.0	True	False	NEARCOMPLETE
MBE035	MBE035.bin.46.fa	19.43560504576644	68.06	0.47	MEDIUM	2064067	436	4994	22048	0	0	0	bact	6.0	False	False	MEDIUM
MBE035	MBE035.bin.47.fa	19.115206720691216	59.13	0.12	MEDIUM	1002754	201	5338	19059	0	0	0	bact	6.0	True	False	MEDIUM
MBE035	MBE035.bin.48.fa	44.215656582706	94.78	1.13	HIGH	3110385	165	26003	120449	0	1	1	bact	15.0	True	False	NEARCOMPLETE
MBE035	MBE035.bin.49.fa	17.593173217623654	50.94	0.26	MEDIUM	1202089	266	4732	20484	0	0	0	bact	4.0	True	False	MEDIUM
MBE035	MBE035.bin.5.fa	14.65274456411062	25.57	0.44	LOW	687468	176	3903	8463	0	0	0	bact	1.0	False	False	LOW
MBE035	MBE035.bin.50.fa	13.991916662614868	9.41	0.01	LOW	329072	103	3029	7098	0	0	0	bact	1.0	True	False	LOW
MBE035	MBE035.bin.51.fa	52.960563306670174	93.0	2.89	HIGH	2372562	206	16019	55774	0	0	1	bact	15.0	True	False	NEARCOMPLETE
MBE035	MBE035.bin.52.fa	22.818494479323306	56.58	1.23	MEDIUM	1412508	289	5101	21722	0	0	0	bact	9.0	True	False	MEDIUM
MBE035	MBE035.bin.53.fa	41.31376331883236	85.79	1.84	MEDIUM	1586100	208	9943	46768	0	0	1	bact	11.0	True	False	MEDIUM
MBE035	MBE035.bin.54.fa	12.994027800064185	8.87	0.12	LOW	398848	101	3931	8726	0	0	0	bact	0.0	True	False	LOW
MBE035	MBE035.bin.6.fa	154.59821217955488	8.28	0.0	LOW	445123	51	14028	30403	0	0	0	bact	2.0	True	False	LOW
MBE035	MBE035.bin.7.fa	34.52719067559492	88.4	0.19	MEDIUM	1997854	158	17596	71393	0	0	0	bact	12.0	True	False	MEDIUM
MBE035	MBE035.bin.8.fa	127.87792156394212	41.69	0.01	LOW	1071344	28	90056	189162	0	0	0	bact	15.0	True	False	LOW
MBE035	MBE035.bin.9.fa	59.55955839696916	93.65	1.05	HIGH	2533950	138	30311	101330	0	0	0	bact	15.0	True	False	NEARCOMPLETE
MBE036	MBE036.bin.1.fa	13.310065890294922	59.1	0.4	MEDIUM	1237208	247	5383	14213	0	0	0	bact	8.0	False	False	MEDIUM
MBE036	MBE036.bin.10.fa	14.792164278014384	30.34	0.04	LOW	565870	115	5705	15726	0	0	0	bact	2.0	True	False	LOW
MBE036	MBE036.bin.11.fa	151.93924380921968	99.99	84.2	LOW	11367105	448	52201	336246	0	0	5	bact	19.0	True	False	LOW
MBE036	MBE036.bin.12.fa	17.98910000977099	77.78	1.38	MEDIUM	2435782	351	8408	38297	0	0	0	bact	15.0	True	False	MEDIUM
MBE036	MBE036.bin.13.fa	87.62281444766616	51.75	1.9	MEDIUM	2466253	47	78208	396781	0	0	2	bact	14.0	False	False	MEDIUM
MBE036	MBE036.bin.14.fa	10.641696392100997	30.89	0.15	LOW	1099227	292	3735	9389	0	0	0	bact	2.0	False	False	LOW
MBE036	MBE036.bin.15.fa	18.086493290705672	76.61	0.03	MEDIUM	1665898	289	6431	26032	0	0	0	bact	11.0	True	False	MEDIUM
MBE036	MBE036.bin.16.fa	40.2041352585432	18.96	0.49	LOW	1144741	73	24015	48626	0	0	0	bact	5.0	False	False	LOW
MBE036	MBE036.bin.17.fa	27.630003723715987	99.08	0.69	HIGH	3182305	141	35626	119128	1	1	0	bact	18.0	True	False	NEARCOMPLETE
MBE036	MBE036.bin.18.fa	29.67829539830471	98.58	0.38	HIGH	3055048	251	21161	65005	0	0	0	bact	16.0	False	False	NEARCOMPLETE
MBE036	MBE036.bin.19.fa	12.848235263600156	47.39	2.71	LOW	1272173	290	4605	15703	0	0	0	bact	3.0	False	False	LOW
MBE036	MBE036.bin.2.fa	19.458403591770605	36.93	0.26	LOW	878898	129	7638	27651	0	0	0	bact	11.0	True	False	LOW
MBE036	MBE036.bin.20.fa	74.71573152878611	5.5	0.06	LOW	267768	26	12680	38716	0	0	0	bact	1.0	True	False	LOW
MBE036	MBE036.bin.21.fa	168.77018188453945	99.9	2.26	HIGH	3222209	51	105647	330490	0	0	0	bact	20.0	True	False	NEARCOMPLETE
MBE036	MBE036.bin.22.fa	8.77011497652846	11.02	0.01	LOW	338069	98	3393	7364	0	0	0	bact	0.0	True	False	LOW
MBE036	MBE036.bin.23.fa	18.90428801135238	39.71	0.63	LOW	868188	154	6380	17776	0	0	0	bact	5.0	True	False	LOW
MBE036	MBE036.bin.24.fa	10.813103734473932	42.02	3.52	LOW	1947048	527	3696	10407	0	0	0	bact	5.0	False	False	LOW
