Species,Estimate,pvalue,padj,highlight
Ruminococcus sp 5 1 39BFAA,0.01585193,0.1895443,0.839668785,
Streptococcus pasteurianus,-0.184053186,0.1900033,0.839668785,
Ruminococcus torques,-0.007025357,0.1950035,0.839668785,
Bacteroides barnesiae,-0.108423606,0.2028414,0.839668785,
Parabacteroides distasonis,-0.00483556,0.2048237,0.839668785,
Klebsiella oxytoca,0.092346145,0.2169207,0.839668785,
Bacteroides dorei,-0.001919967,0.2179078,0.839668785,
Eubacterium cylindroides,-0.103054106,0.218195,0.839668785,
Collinsella intestinalis,-0.159229066,0.2196024,0.839668785,
Bifidobacterium adolescentis,0.003795009,0.2207527,0.839668785,
Alistipes finegoldii,-0.022006675,0.2268735,0.839668785,
Bacteroides sp 3 2 5,0.008443737,0.2285489,0.839668785,
Bifidobacterium bifidum,0.015171043,0.2423395,0.8464365,
Sutterella wadsworthensis,0.00646525,0.2430605,0.8464365,
Prevotella copri,0.000697158,0.2529634,0.8464365,
Clostridium symbiosum,-0.047028133,0.2547211,0.8464365,
Bacteroides xylanisolvens,-0.007812789,0.2554335,0.8464365,
Fusobacterium ulcerans,-0.055456688,0.2863724,0.920504736,
Megamonas funiformis,0.047728617,0.288679,0.920504736,
Desulfovibrio desulfuricans,0.092838953,0.2986879,0.926066227,
Alistipes shahii,-0.003242436,0.3071902,0.926066227,
Coprococcus sp ART55 1,-0.012459365,0.3145886,0.926066227,
Barnesiella intestinihominis,0.00666516,0.3147535,0.926066227,
Bifidobacterium dentium,-0.039794713,0.3245876,0.926066227,
Veillonella parvula,0.011810365,0.332561,0.926066227,
Ruminococcus champanellensis,0.348658494,0.3394423,0.926066227,
Odoribacter splanchnicus,-0.011624029,0.3411709,0.926066227,
Lactobacillus fermentum,-0.043772095,0.3446565,0.926066227,
Citrobacter freundii,-0.067963543,0.3598083,0.926066227,
Adlercreutzia equolifaciens,-0.149555024,0.3615293,0.926066227,
Subdoligranulum sp 4 3 54A2FAA,-0.036297622,0.377036,0.926066227,
Dialister invisus,-0.010337861,0.3796463,0.926066227,
Parabacteroides merdae,-0.004429437,0.3803805,0.926066227,
Klebsiella pneumoniae,0.00355876,0.3950142,0.926066227,
Bacteroides sp 2 1 22,-0.009410124,0.3956974,0.926066227,
Streptococcus vestibularis,-0.031505346,0.3971008,0.926066227,
Enterobacter hormaechei,0.094017799,0.4012701,0.926066227,
Clostridium perfringens,-0.124732369,0.4079729,0.926066227,
Oscillibacter sp KLE 1745,-0.050539403,0.412797,0.926066227,
Desulfovibrio piger,-0.053940248,0.4134344,0.926066227,
Butyrivibrio crossotus,-0.081644073,0.4145398,0.926066227,
Lachnospiraceae bacterium 8 1 57FAA,0.032438909,0.4171596,0.926066227,
Eubacterium limosum,-0.54157566,0.4219355,0.926066227,
Dorea longicatena,0.023747256,0.4361183,0.926108394,
Bacteroides sp 4 3 47FAA,-0.006141822,0.4366938,0.926108394,
Akkermansia muciniphila,-0.00204833,0.4415087,0.926108394,
Paraprevotella clara,0.027595152,0.4504807,0.926108394,
Enterobacter cloacae,-0.013884297,0.4527554,0.926108394,
Alistipes indistinctus,0.00877253,0.4548343,0.926108394,
Lachnospiraceae bacterium 3 1 57FAA CT1,-0.039563026,0.4658841,0.930277771,
Pyramidobacter piscolens,-0.012812754,0.4715119,0.930277771,
Bilophila wadsworthia,-0.091750586,0.4764748,0.930277771,
Parabacteroides johnsonii,0.014711822,0.4792132,0.930277771,
Clostridium sp L2 50,0.01120446,0.4913007,0.930277771,
Bacteroides coprophilus,0.003392243,0.4945305,0.930277771,
Phascolarctobacterium succinatutens,0.007527543,0.4962867,0.930277771,
Alistipes sp HGB5,-0.020459977,0.5009188,0.930277771,
Bacteroides faecis,-0.01313111,0.5101526,0.937128146,
Streptococcus parasanguinis,0.009688461,0.528244,0.951045452,
Lactobacillus delbrueckii,-0.049484604,0.5352577,0.951045452,
Lachnospiraceae bacterium 2 1 46FAA,-0.052457568,0.536641,0.951045452,
Streptococcus salivarius,-0.003660667,0.544089,0.951045452,
Klebsiella phage KP36,0.00075409,0.5530286,0.951045452,
Bacteroides nordii,-0.065672467,0.5560877,0.951045452,
Eubacterium ventriosum,0.007631531,0.5571213,0.951045452,
Clostridium nexile,-0.00448792,0.5631891,0.951789579,
Vibrio phage pYD38 A,-0.001156344,0.569795,0.953419356,
Bacteroides ovatus,-0.000716447,0.5809238,0.962511002,
Bacteroides cellulosilyticus,-0.002669928,0.5886862,0.963734688,
Bacteroidales bacterium ph8,0.001773284,0.5930675,0.963734688,
Bacteroides eggerthii,-0.000877062,0.6340851,0.990052599,
Lachnospiraceae bacterium 3 1 46FAA,-0.02676216,0.638086,0.990052599,
Clostridium leptum,-0.01606908,0.6482382,0.990052599,
Eubacterium hallii,0.018948998,0.6491199,0.990052599,
Bifidobacterium longum,0.002137562,0.6724481,0.990052599,
Clostridium clostridioforme,-0.009967302,0.6919734,0.990052599,
Coprococcus comes,-0.012995133,0.694622,0.990052599,
Burkholderiales bacterium 1 1 47,-0.015156,0.6950153,0.990052599,
Megasphaera micronuciformis,0.019866262,0.6990081,0.990052599,
Lactobacillus gasseri,0.030818031,0.701248,0.990052599,
Coprobacter fastidiosus,0.014204613,0.7060621,0.990052599,
Bacteroides uniformis,-0.000576183,0.708624,0.990052599,
Ruminococcus gnavus,0.002438252,0.7102034,0.990052599,
Alistipes senegalensis,0.017561447,0.712949,0.990052599,
Megamonas hypermegale,0.002295823,0.7207597,0.990052599,
Ruminococcaceae bacterium D16,-0.024170691,0.7307767,0.990052599,
Escherichia coli,-0.000433297,0.7315381,0.990052599,
Lactobacillus vaginalis,0.05211816,0.7326215,0.990052599,
Bifidobacterium pseudocatenulatum,0.002383031,0.7395208,0.990052599,
Sutterella parvirubra,-0.030267776,0.7472688,0.990052599,
Coriobacteriaceae bacterium phI,0.01614992,0.7484775,0.990052599,
Clostridium bartlettii,0.031432792,0.7490488,0.990052599,
Prevotella stercorea,0.000454491,0.7542138,0.990052599,
Bifidobacterium breve,0.002183784,0.7661432,0.990052599,
Lactobacillus salivarius,0.002828272,0.766828,0.990052599,
Alistipes onderdonkii,-0.000558752,0.7678596,0.990052599,
Streptococcus infantarius,-0.030263189,0.7692008,0.990052599,
Clostridium hathewayi,0.006739547,0.7868438,0.990052599,
Bifidobacterium catenulatum,-0.010981679,0.7898786,0.990052599,
Weissella cibaria,-0.035611451,0.7942678,0.990052599,
Bacteroides finegoldii,-0.001657138,0.800039,0.990052599,
Lactobacillus crispatus,-0.006518169,0.8131644,0.990052599,
Lachnospiraceae bacterium 2 1 58FAA,-0.007007383,0.8198611,0.990052599,
Bacteroides thetaiotaomicron,0.000475429,0.8214427,0.990052599,
Streptococcus gallolyticus,-0.026828817,0.8219906,0.990052599,
Bifidobacterium animalis,-0.323265792,0.8244408,0.990052599,
Lactobacillus mucosae,-0.008003795,0.8320932,0.990052599,
Mitsuokella multacida,-0.001023696,0.8348288,0.990052599,
Bacteroides massiliensis,0.000473376,0.844747,0.990052599,
Parasutterella excrementihominis,0.008016004,0.8491647,0.990052599,
Bacteroides stercoris,-0.000204289,0.8560311,0.990052599,
Clostridium asparagiforme,-0.005127501,0.856782,0.990052599,
Ruminococcus callidus,-0.003489054,0.8762309,0.990052599,
Prevotella buccae,0.005981512,0.8768021,0.990052599,
Bacteroides caccae,-0.00036239,0.8825837,0.990052599,
Megasphaera elsdenii,-0.006739764,0.9165224,0.990052599,
Roseburia hominis,0.001031912,0.9243832,0.990052599,
Blautia producta,0.002482012,0.9380258,0.990052599,
Lactobacillus reuteri,0.007105378,0.9391984,0.990052599,
Lachnospiraceae bacterium 1 1 57FAA,-0.000834562,0.9392084,0.990052599,
Coprococcus catus,0.008320959,0.9459323,0.990052599,
Coprococcus eutactus,0.005467687,0.9508999,0.990052599,
Streptococcus anginosus,-0.002695307,0.951145,0.990052599,
Roseburia intestinalis,0.000264409,0.9545909,0.990052599,
Bacteroides fragilis,9.94E-05,0.9548963,0.990052599,
Lachnospiraceae bacterium 5 1 63FAA,-0.001432981,0.9557744,0.990052599,
Paraprevotella xylaniphila,-0.001267087,0.9607431,0.990052599,
Alistipes sp AP11,-0.000622948,0.9631333,0.990052599,
Alistipes putredinis,-6.76E-05,0.9666144,0.990052599,
Dorea formicigenerans,-0.001540004,0.9682774,0.990052599,
Clostridiales bacterium 1 7 47FAA,-0.000352841,0.9758248,0.990052599,
Weissella confusa,-0.005024162,0.9774184,0.990052599,
Bacteroides plebeius,4.72E-05,0.9813387,0.990052599,
Enterobacter aerogenes,0.000994538,0.9841943,0.990052599,
Methanobrevibacter smithii,0.000172756,0.9944641,0.9944641,
