Species,Estimate,pvalue,padj,highlight
Bacteroides ovatus,0.01890977,0.71602916,0.97256575,
Lactobacillus gasseri,-1.8341183,0.72234341,0.97256575,
Bifidobacterium dentium,4.2930458,0.73866142,0.97256575,
Bacteroides fragilis,0.02717335,0.73897189,0.97256575,
Ruminococcaceae bacterium D16,1.4322372,0.7390942,0.97256575,
Coriobacteriaceae bacterium phI,-0.5074495,0.75236209,0.97256575,
Clostridium clostridioforme,0.7460822,0.7590422,0.97256575,
Ruminococcus callidus,0.8243168,0.7727376,0.97256575,
Paraprevotella xylaniphila,0.6429025,0.79585003,0.97256575,
Enterobacter cloacae,-0.1775789,0.80099655,0.97256575,
Roseburia intestinalis,-0.1177854,0.80672847,0.97256575,
Lactobacillus fermentum,-3.8269326,0.80751211,0.97256575,
Prevotella stercorea,-0.01763045,0.81165095,0.97256575,
Bacteroides dorei,0.02038549,0.81702818,0.97256575,
Enterobacter hormaechei,-1.3595571,0.81855647,0.97256575,
Klebsiella oxytoca,-0.6488053,0.81855647,0.97256575,
Lachnospiraceae bacterium 2 1 58FAA,-7.0122363,0.81855647,0.97256575,
Collinsella aerofaciens,0.1972697,0.82595263,0.97256575,
Ruminococcus lactaris,-0.7426421,0.8301845,0.97256575,
Barnesiella intestinihominis,-0.07373556,0.8307415,0.97256575,
Ruminococcus gnavus,0.1839822,0.83435014,0.97256575,
Lactobacillus crispatus,-0.2554547,0.85084257,0.97256575,
Clostridium hathewayi,0.2098736,0.85452248,0.97256575,
Lactobacillus salivarius,-0.390014,0.86336083,0.97256575,
Streptococcus anginosus,2.6439169,0.86877308,0.97256575,
Megasphaera micronuciformis,-1.9526525,0.87020284,0.97256575,
Ruminococcus obeum,-0.7932894,0.8767512,0.97256575,
Pyramidobacter piscolens,-0.3433465,0.87699921,0.97256575,
Alistipes onderdonkii,0.01143244,0.88126846,0.97256575,
Megamonas rupellensis,0.3644727,0.88296053,0.97256575,
Alistipes sp AP11,-0.1273875,0.88379147,0.97256575,
Ruminococcus torques,0.08889515,0.88591684,0.97256575,
Odoribacter laneus,0.1662127,0.88670711,0.97256575,
Bacteroides stercoris,0.01366203,0.89201327,0.97256575,
Faecalibacterium prausnitzii,-0.02654102,0.89364,0.97256575,
Dialister invisus,-0.5227918,0.897753,0.97256575,
Akkermansia muciniphila,0.01283383,0.9058637,0.97510169,
Lactobacillus ruminis,-0.583695,0.92266737,0.986283909,
Clostridium bartlettii,-0.6662861,0.9407851,0.986283909,
Klebsiella pneumoniae,0.01862185,0.94543614,0.986283909,
Bifidobacterium adolescentis,-0.008787767,0.95300522,0.986283909,
Bifidobacterium pseudocatenulatum,0.1002257,0.9533239,0.986283909,
Lachnospiraceae bacterium 3 1 57FAA CT1,0.4899741,0.95926096,0.986283909,
Bacteroides vulgatus,-0.004538786,0.96119883,0.986283909,
Eubacterium hallii,-0.1417832,0.96415448,0.986283909,
Lactobacillus vaginalis,0.1494986,0.97206914,0.986283909,
Haemophilus parainfluenzae,-0.03157834,0.97994728,0.986283909,
Bacteroidales bacterium ph8,-0.002879625,0.98044791,0.986283909,
Alistipes sp HGB5,-0.008340733,0.998572,0.998572,
