UniRef90	KIDS	GeneName
UniRef90_D6Y0M0	K01040	gctB
UniRef90_D6Y6P4	K01040	gctB
UniRef90_D7A1S0	K01040	gctB
UniRef90_D7AVL7	K01040	gctB
UniRef90_D7C5K4	K01040	gctB
UniRef90_D7CIN4	K01040	gctB
UniRef90_D7CJW0	K01040	gctB
UniRef90_D7CMN0	K01040	gctB
UniRef90_D7CMN3	K01040	gctB
UniRef90_D7CMS7	K01040	gctB
UniRef90_D7GVW4	K01040	gctB
UniRef90_D9Q0M9	K01040	gctB
UniRef90_D9QZG1	K01040	gctB
UniRef90_D9T068	K01040	gctB
UniRef90_E1QUP0	K01040	gctB
UniRef90_E1V9V7	K01040	gctB
UniRef90_E1VND0	K01040	gctB
UniRef90_E3HH22	K01040	gctB
UniRef90_E3PWJ5	K01040	gctB
UniRef90_E8MZ92	K01040	gctB
UniRef90_E8RCS6	K01040	gctB
UniRef90_E8REI4	K01040	gctB
UniRef90_E8VYT6	K01040	gctB
UniRef90_F0QTA2	K01040	gctB
UniRef90_F2J583	K01040	gctB
UniRef90_F2JV89	K01040	gctB
UniRef90_F2LU40	K01040	gctB
UniRef90_F4B8T6	K01040	gctB
UniRef90_F4FGA8	K01040	gctB
UniRef90_F4G1X4	K01040	gctB
UniRef90_F6CQK2	K01040	gctB
UniRef90_F6ID76	K01040	gctB
UniRef90_F7YD74	K01040	gctB
UniRef90_F8CED8	K01040	gctB
UniRef90_F8CLR9	K01040	gctB
UniRef90_F8GRC2	K01040	gctB
UniRef90_F8I5U4	K01040	gctB
UniRef90_F8JG54	K01040	gctB
UniRef90_G2NWR3	K01040	gctB
UniRef90_G4KW58	K01040	gctB
UniRef90_G4R805	K01040	gctB
UniRef90_G7WCU6	K01040	gctB
UniRef90_G7WH33	K01040	gctB
UniRef90_G8PKL1	K01040	gctB
UniRef90_G8QJ69	K01040	gctB
UniRef90_G8RJD2	K01040	gctB
UniRef90_H2FYT7	K01040	gctB
UniRef90_H2IK99	K01040	gctB
UniRef90_H8MN92	K01040	gctB
UniRef90_H8WCD5	K01040	gctB
UniRef90_I3UGW5	K01040	gctB
UniRef90_I4BS71	K01040	gctB
UniRef90_I4BTH1	K01040	gctB
UniRef90_I4C1T9	K01040	gctB
UniRef90_I4C1V9	K01040	gctB
UniRef90_I4C1Z1	K01040	gctB
UniRef90_I4D9L6	K01040	gctB
UniRef90_I4WZ92	K01040	gctB
UniRef90_I7AEB9	K01040	gctB
UniRef90_I7BX97	K01040	gctB
UniRef90_K0ERA4	K01040	gctB
UniRef90_K0JVS8	K01040	gctB
UniRef90_K0NF51	K01040	gctB
UniRef90_K0NFL4	K01040	gctB
UniRef90_K0NIS6	K01040	gctB
UniRef90_K9NGF9	K01040	gctB
UniRef90_L0A7K4	K01040	gctB
UniRef90_L0IUC7	K01040	gctB
UniRef90_L7U3G7	K01040	gctB
UniRef90_L7UEY3	K01040	gctB
UniRef90_M1J347	K01040	gctB
UniRef90_M4S2G9	K01040	gctB
UniRef90_M4TRF0	K01040	gctB
UniRef90_M4ZPK8	K01040	gctB
UniRef90_N0BJ62	K01040	gctB
UniRef90_N0CXX6	K01040	gctB
UniRef90_Q02CF6	K01040	gctB
UniRef90_Q08X99	K01040	gctB
UniRef90_Q09B97	K01040	gctB
UniRef90_Q0AWW8	K01040	gctB
UniRef90_Q0S8J7	K01040	gctB
UniRef90_Q11EH5	K01040	gctB
UniRef90_Q13G82	K01040	gctB
UniRef90_Q13PA9	K01040	gctB
UniRef90_Q1AVN3	K01040	gctB
UniRef90_Q1R0U5	K01040	gctB
UniRef90_Q2J173	K01040	gctB
UniRef90_Q396R4	K01040	gctB
UniRef90_Q3IE81	K01040	gctB
UniRef90_Q59112	K01040	gctB
UniRef90_Q5YTX5	K01040	gctB
UniRef90_Q7NA04	K01040	gctB
UniRef90_Q89UW7	K01040	gctB
UniRef90_Q8RGS9	K01040	gctB
UniRef90_Q973S5	K01040	gctB
UniRef90_R4KGQ9	K01040	gctB
UniRef90_R4KMB7	K01040	gctB
UniRef90_R4XZR3	K01040	gctB
UniRef90_R9VBD5	K01040	gctB
UniRef90_S5SRE7	K01040	gctB
UniRef90_T1VM69	K01040	gctB
UniRef90_U5VZ42	K01040	gctB
UniRef90_V9XJ45	K01040	gctB
UniRef90_W0AEB3	K01040	gctB
UniRef90_W0HEL6	K01040	gctB
UniRef90_W0HTU9	K01040	gctB
UniRef90_W0HYP6	K01040	gctB
UniRef90_W0JIZ5	K01040	gctB
UniRef90_W0JLS1	K01040	gctB
UniRef90_W0JW64	K01040	gctB
UniRef90_W5W307	K01040	gctB
UniRef90_A7SMW7	K00109	L2HGDH
UniRef90_A9S5P3	K00109	L2HGDH
UniRef90_A9UPQ3	K00109	L2HGDH
UniRef90_A9V5J4	K00109	L2HGDH
UniRef90_B0WVI2	K00109	L2HGDH
UniRef90_B3SCQ1	K00109	L2HGDH
UniRef90_B4JBX8	K00109	L2HGDH
UniRef90_B4KJP5	K00109	L2HGDH
UniRef90_B4LSJ3	K00109	L2HGDH
UniRef90_B4MZQ5	K00109	L2HGDH
UniRef90_B7P885	K00109	L2HGDH
UniRef90_B8A6D3	K00109	L2HGDH
UniRef90_B9KZG7	K00109	L2HGDH
UniRef90_C3ZZU7	K00109	L2HGDH
UniRef90_D1CHP3	K00109	L2HGDH
UniRef90_D2A384	K00109	L2HGDH
UniRef90_D2A385	K00109	L2HGDH
UniRef90_D8QZ22	K00109	L2HGDH
UniRef90_E0VP15	K00109	L2HGDH
UniRef90_E1FIT6	K00109	L2HGDH
UniRef90_E5SNZ5	K00109	L2HGDH
UniRef90_E9IYQ6	K00109	L2HGDH
UniRef90_F0ZLQ4	K00109	L2HGDH
UniRef90_F1NBV3	K00109	L2HGDH
UniRef90_H2LZ62	K00109	L2HGDH
UniRef90_H9G5H9	K00109	L2HGDH
UniRef90_J9JR71	K00109	L2HGDH
UniRef90_K1R224	K00109	L2HGDH
UniRef90_K7J049	K00109	L2HGDH
UniRef90_M1VDP8	K00109	L2HGDH
UniRef90_M2WX70	K00109	L2HGDH
UniRef90_M4AJN9	K00109	L2HGDH
UniRef90_Q29LU0	K00109	L2HGDH
UniRef90_Q55GI5	K00109	L2HGDH
UniRef90_Q5R9N7	K00109	L2HGDH
UniRef90_Q7Q3G9	K00109	L2HGDH
UniRef90_Q91YP0	K00109	L2HGDH
UniRef90_Q9H9P8	K00109	L2HGDH
UniRef90_Q9N4Z0	K00109	L2HGDH
UniRef90_Q9VJ28	K00109	L2HGDH
UniRef90_T1FEW0	K00109	L2HGDH
UniRef90_V4AGF0	K00109	L2HGDH
UniRef90_B5E7T5	K01615	gcdA
UniRef90_B9M952	K01615	gcdA
UniRef90_C0QBA7	K01615	gcdA
UniRef90_C9LSZ2	K01615	gcdA
UniRef90_D1BNG3	K01615	gcdA
UniRef90_D1BNG6	K01615	gcdA
UniRef90_D4KHP6	K01615	gcdA
UniRef90_D6DHM6	K01615	gcdA
UniRef90_D6GTN3	K01615	gcdA
UniRef90_D7GVW6	K01615	gcdA
UniRef90_E1QJR4	K01615	gcdA
UniRef90_G4KW66	K01615	gcdA
UniRef90_G4Q811	K01615	gcdA
UniRef90_G4Q812	K01615	gcdA
UniRef90_G4Q813	K01615	gcdA
UniRef90_G4Q833	K01615	gcdA
UniRef90_G7WCV8	K01615	gcdA
UniRef90_I4C5V4	K01615	gcdA
UniRef90_I4C6V4	K01615	gcdA
UniRef90_K0NC06	K01615	gcdA
UniRef90_Q06700	K01615	gcdA
UniRef90_Q2LUY7	K01615	gcdA
UniRef90_Q8RGS8	K01615	gcdA
UniRef90_Q9ZAA6	K01615	gcdA
UniRef90_Q9ZAA7	K01615	gcdA
UniRef90_Q9ZAA8	K01615	gcdA
UniRef90_A6L381	K20509	gcdB
UniRef90_A9KLQ1	K20509	gcdB
UniRef90_A4XMC4	K20509	gcdB
UniRef90_B2RI28	K20509	gcdB
UniRef90_B2UM99	K20509	gcdB
UniRef90_C4Z5R5	K20509	gcdB
UniRef90_D1BNG3	K20509	gcdB
UniRef90_D2RLA7	K20509	gcdB
UniRef90_D4J353	K20509	gcdB
UniRef90_D4J8A8	K20509	gcdB
UniRef90_D4JSC5	K20509	gcdB
UniRef90_D4K3I2	K20509	gcdB
UniRef90_D4KCP8	K20509	gcdB
UniRef90_D4MSZ2	K20509	gcdB
UniRef90_D6DHM4	K20509	gcdB
UniRef90_D6DJ29	K20509	gcdB
UniRef90_D7GSJ6	K20509	gcdB
UniRef90_D9R8V5	K20509	gcdB
UniRef90_F4KKA7	K20509	gcdB
UniRef90_F9ZA92	K20509	gcdB
UniRef90_G2T319	K20509	gcdB
UniRef90_G4Q813	K20509	gcdB
UniRef90_I3YQB6	K20509	gcdB
UniRef90_Q64S46	K20509	gcdB
UniRef90_Q8Z9M6	K20509	gcdB
UniRef90_Q9ZAA6	K20509	gcdB
UniRef90_U5Q5W3	K20509	gcdB
UniRef90_W0ESV3	K20509	gcdB
