Species,Estimate,pvalue,padj,highlight
Alistipes sp AP11,0.007237837,0.7170904,0.9986131,
Fusobacterium varium,-0.026539838,0.7253932,0.9986131,
Streptococcus salivarius,0.003130182,0.726553,0.9986131,
Lactobacillus crispatus,0.014151405,0.7292184,0.9986131,
Methanobrevibacter smithii,0.012687083,0.7310063,0.9986131,
Clostridium asparagiforme,-0.014398163,0.7324303,0.9986131,
Catenibacterium mitsuokai,0.026978538,0.7354278,0.9986131,
Bacteroides barnesiae,-0.041955203,0.7404019,0.9986131,
Lactobacillus mucosae,-0.018408728,0.7421755,0.9986131,
Streptococcus vestibularis,0.01810576,0.7430389,0.9986131,
Lactobacillus delbrueckii,-0.038644707,0.7441195,0.9986131,
Enterobacter aerogenes,0.023975932,0.7472851,0.9986131,
Eubacterium cylindroides,-0.038045498,0.7598365,0.9986131,
Clostridium sp L2 50,-0.007362292,0.7605216,0.9986131,
Desulfovibrio piger,-0.026682799,0.7851991,0.9986131,
Bifidobacterium adolescentis,0.00125338,0.785651,0.9986131,
Coprococcus catus,0.048564146,0.7894569,0.9986131,
Barnesiella intestinihominis,0.00257573,0.7936911,0.9986131,
Coprococcus eutactus,0.034345373,0.7941373,0.9986131,
Bacteroides nordii,0.042690249,0.7964379,0.9986131,
Desulfovibrio desulfuricans,-0.033713164,0.7994915,0.9986131,
Sutterella parvirubra,-0.034776411,0.8028051,0.9986131,
Alistipes sp HGB5,0.010831654,0.810221,0.9986131,
Bacteroides coprophilus,0.001746112,0.8126768,0.9986131,
Klebsiella phage KP36,0.000444988,0.8134498,0.9986131,
Alistipes putredinis,0.000552143,0.8175357,0.9986131,
Bacteroides stercoris,-0.000357962,0.8302011,0.9986131,
Bacteroides sp 3 2 5,0.002208828,0.8322423,0.9986131,
Bacteroides clarus,0.001853635,0.8394903,0.9986131,
Lactobacillus salivarius,0.00282572,0.841625,0.9986131,
Bacteroides sp 4 3 47FAA,-0.002257874,0.8472448,0.9986131,
Lactobacillus fermentum,-0.01260314,0.8546449,0.9986131,
Roseburia hominis,0.00291278,0.8565832,0.9986131,
Veillonella dispar,0.017959369,0.8594322,0.9986131,
Lactobacillus ruminis,0.01642189,0.8605895,0.9986131,
Vibrio phage pYD38 A,0.000528443,0.8610099,0.9986131,
Megamonas hypermegale,-0.001607595,0.8659593,0.9986131,
Parabacteroides goldsteinii,0.004562395,0.8729201,0.9986131,
Streptococcus anginosus,0.010375855,0.8735878,0.9986131,
Fusobacterium mortiferum,0.004338414,0.874402,0.9986131,
Alistipes indistinctus,0.002747842,0.8746703,0.9986131,
Bifidobacterium dentium,0.009441608,0.8749858,0.9986131,
Ruminococcus callidus,-0.005095361,0.8780638,0.9986131,
Lactobacillus reuteri,-0.01971295,0.8864876,0.9986131,
Alistipes finegoldii,-0.003840285,0.8872333,0.9986131,
Streptococcus gallolyticus,0.023396415,0.8947196,0.9986131,
Bacteroides ovatus,-0.000253125,0.8953975,0.9986131,
Clostridium clostridioforme,0.004659697,0.9006076,0.9986131,
Clostridium perfringens,0.027087887,0.9036609,0.9986131,
Prevotella stercorea,0.000240506,0.9110334,0.9986131,
Lactobacillus vaginalis,-0.02472543,0.912963,0.9986131,
Clostridium leptum,0.00559024,0.9147812,0.9986131,
Parabacteroides merdae,-0.000745368,0.9208163,0.9986131,
Pyramidobacter piscolens,0.002489744,0.924893,0.9986131,
Citrobacter freundii,-0.010085805,0.9270941,0.9986131,
Streptococcus infantarius,0.013942237,0.9273599,0.9986131,
Streptococcus parasanguinis,0.00192461,0.9327079,0.9986131,
Prevotella copri,-7.08178E-05,0.9377397,0.9986131,
Coriobacteriaceae bacterium phI,0.004875738,0.9479477,0.9986131,
Coprobacter fastidiosus,0.003161241,0.954864,0.9986131,
Subdoligranulum sp 4 3 54A2FAA,-0.003385538,0.9557528,0.9986131,
Adlercreutzia equolifaciens,0.011272851,0.9630636,0.9986131,
Clostridiales bacterium 1 7 47FAA,-0.000790742,0.9634621,0.9986131,
Bacteroidales bacterium ph8,0.000210938,0.9658191,0.9986131,
Bacteroides sp 2 1 22,-0.000684736,0.9667992,0.9986131,
Mitsuokella multacida,0.000283286,0.9689559,0.9986131,
Bacteroides faecis,-0.001090348,0.9706015,0.9986131,
Blautia producta,-0.001464349,0.9753159,0.9986131,
Bacteroides dorei,-6.96E-05,0.9760528,0.9986131,
Akkermansia muciniphila,-0.00010551,0.978693,0.9986131,
Eubacterium limosum,-0.023239799,0.9814806,0.9986131,
Clostridium symbiosum,0.001262556,0.9835903,0.9986131,
Dorea formicigenerans,0.000414527,0.9942388,0.9986131,
Bifidobacterium animalis,-0.003774747,0.998606,0.9986131,
Bacteroides eggerthii,4.75E-06,0.9986131,0.9986131,
