Species,Estimate,pvalue,padj,highlight
Paraprevotella xylaniphila,-1.0254855,0.6715718,0.879811118,
Paraprevotella clara,-1.731502,0.6911246,0.898142631,
Lactobacillus crispatus,-0.5164895,0.6961934,0.898142631,
Bifidobacterium longum,0.1517805,0.7153205,0.906386433,
Bacteroides stercoris,-0.03552723,0.7160274,0.906386433,
Clostridium hathewayi,-0.3945966,0.7230009,0.906386433,
Collinsella tanakaei,9.5961014,0.7341064,0.906386433,
Klebsiella phage KP36,0.01507775,0.7378353,0.906386433,
Eubacterium eligens,0.3382378,0.7382087,0.906386433,
Bacteroides intestinalis,0.2857802,0.7401262,0.906386433,
Bifidobacterium animalis,-10.4359439,0.7870646,0.956934658,
Bilophila wadsworthia,3.6873112,0.7979722,0.963266441,
Dialister succinatiphilus,0.7498353,0.809583,0.965497238,
Flavonifractor plautii,-0.5743246,0.8112462,0.965497238,
Bacteroides ovatus,0.01135712,0.8209583,0.966290478,
Clostridium asparagiforme,-0.7393477,0.8233481,0.966290478,
Phascolarctobacterium succinatutens,0.3865173,0.8367736,0.968101379,
Bacteroides uniformis,-0.01631888,0.856664,0.968101379,
Parabacteroides johnsonii,-0.2942544,0.8570251,0.968101379,
Ruminococcaceae bacterium D16,-0.7476401,0.8581745,0.968101379,
Megamonas hypermegale,-0.2145309,0.8644043,0.968101379,
Bacteroides finegoldii,-0.04396752,0.8688004,0.968101379,
Lachnospiraceae bacterium 5 1 63FAA,-2.1878119,0.8696496,0.968101379,
Bacteroides thetaiotaomicron,-0.01230553,0.8707184,0.968101379,
Dorea formicigenerans,-2.6625654,0.8816528,0.973851786,
Bacteroides xylanisolvens,-0.02367742,0.916571,0.982493037,
Citrobacter freundii,4.4679043,0.9241599,0.982493037,
Bacteroides plebeius,-0.01101844,0.9299396,0.982493037,
Megamonas rupellensis,-0.2012831,0.933353,0.982493037,
Bifidobacterium catenulatum,1.4671874,0.9422966,0.982493037,
Sutterella parvirubra,-0.2235682,0.9445625,0.982493037,
Fusobacterium ulcerans,-0.2032683,0.945984,0.982493037,
Bifidobacterium bifidum,-0.04807313,0.9475312,0.982493037,
Escherichia coli,-3.31E-03,0.9555009,0.982493037,
Streptococcus parasanguinis,0.06354372,0.9560326,0.982493037,
Parasutterella excrementihominis,-0.7049503,0.9608537,0.982493037,
Catenibacterium mitsuokai,-0.2050921,0.9646067,0.982493037,
Adlercreutzia equolifaciens,-0.9156955,0.9675607,0.982493037,
Streptococcus pasteurianus,-0.3795569,0.9708659,0.982493037,
Collinsella aerofaciens,0.01499452,0.9862833,0.9893395,
Mitsuokella multacida,0.00442107,0.9893395,0.9893395,
