Species,Estimate,pvalue,padj,highlight
Clostridium bartlettii,-0.619281469,0.389361,0.972439676,
Fusobacterium ulcerans,0.32707879,0.3915239,0.972439676,
Eubacterium biforme,-0.10757052,0.4120855,0.972439676,
Bacteroides coprocola,-0.017680018,0.416592,0.972439676,
Butyrivibrio crossotus,-0.595611991,0.4168857,0.972439676,
Megamonas funiformis,-0.265665993,0.4210099,0.972439676,
Bacteroides caccae,0.014221349,0.4286237,0.972439676,3
Dorea formicigenerans,-0.222293898,0.4330529,0.972439676,
Eubacterium rectale,-0.013253803,0.4374262,0.972439676,
Clostridium perfringens,0.832722316,0.4512943,0.972439676,
Catenibacterium mitsuokai,0.292879517,0.4578158,0.972439676,
Clostridium symbiosum,-0.224047131,0.4599844,0.972439676,
Citrobacter freundii,-0.39754719,0.4653342,0.972439676,
Bifidobacterium dentium,-0.214957363,0.4684265,0.972439676,
Veillonella dispar,-0.359776502,0.4726944,0.972439676,
Klebsiella phage KP36,-0.006492531,0.4859163,0.972439676,
Megasphaera micronuciformis,-0.261419379,0.4873968,0.972439676,
Roseburia hominis,-0.054867073,0.4908256,0.972439676,
Dialister succinatiphilus,-0.038020443,0.4912184,0.972439676,
Collinsella intestinalis,-0.65091052,0.4946662,0.972439676,
Bacteroides ovatus,-0.006428367,0.4991769,0.972439676,
Lachnospiraceae bacterium 1 4 56FAA,0.895068551,0.4992887,0.972439676,
Flavonifractor plautii,-0.174080751,0.5005623,0.972439676,
Lachnospiraceae bacterium 8 1 57FAA,-0.197209989,0.5012917,0.972439676,
Blautia producta,-0.155877716,0.5050127,0.972439676,
Bifidobacterium bifidum,-0.063374729,0.506177,0.972439676,
Paraprevotella xylaniphila,-0.12416019,0.5102591,0.972439676,
Weissella cibaria,-0.62992998,0.5289662,0.972439676,
Eubacterium eligens,-0.019881023,0.5320264,0.972439676,
Streptococcus infantarius,0.472186799,0.5320877,0.972439676,
Clostridium clostridioforme,0.114723013,0.5337806,0.972439676,
Alistipes putredinis,0.007330383,0.5353982,0.972439676,
Desulfovibrio piger,0.279777534,0.5631532,0.972439676,
Haemophilus parainfluenzae,0.038505941,0.5694085,0.972439676,
Dorea longicatena,-0.12703359,0.5701413,0.972439676,
Parabacteroides johnsonii,-0.085836296,0.5735448,0.972439676,
Subdoligranulum sp 4 3 54A2FAA,-0.160296735,0.5950693,0.972439676,
Parasutterella excrementihominis,-0.161622747,0.6007879,0.972439676,
Bilophila wadsworthia,-0.494505469,0.6008944,0.972439676,
Bacteroides nordii,0.426920879,0.6017765,0.972439676,
Alistipes sp AP11,-0.051420358,0.6025939,0.972439676,
Streptococcus salivarius,-0.023028136,0.6027974,0.972439676,
Clostridiales bacterium 1 7 47FAA,-0.043638933,0.6090238,0.972439676,
Clostridium sp L2 50,0.059523504,0.6181759,0.972439676,
Bacteroides sp 4 3 47FAA,0.028277012,0.6255358,0.972439676,
Klebsiella oxytoca,0.267091992,0.6271529,0.972439676,
Eubacterium cylindroides,-0.292775352,0.6342164,0.972439676,
Paraprevotella clara,0.126695637,0.6367946,0.972439676,
Coriobacteriaceae bacterium phI,-0.173170756,0.6390299,0.972439676,
Lactobacillus gasseri,-0.272896178,0.6430761,0.972439676,
Roseburia inulinivorans,-0.015108033,0.6433209,0.972439676,3
Lactobacillus vaginalis,-0.510302082,0.6481552,0.972439676,
Streptococcus parasanguinis,-0.05076369,0.6523355,0.972439676,
Lachnospiraceae bacterium 5 1 63FAA,0.084298845,0.6562145,0.972439676,
Enterobacter cloacae,-0.059877505,0.659007,0.972439676,
Ruminococcus callidus,-0.072084874,0.6606343,0.972439676,
Bacteroides sp 2 1 22,0.035012796,0.6668199,0.972439676,
Alistipes sp HGB5,-0.092277138,0.6790473,0.972439676,
Odoribacter laneus,0.025134246,0.6807297,0.972439676,
Alistipes indistinctus,-0.034305879,0.6904201,0.972439676,
Lachnospiraceae bacterium 2 1 58FAA,-0.08855275,0.6946269,0.972439676,
Prevotella stercorea,-0.004055861,0.7031213,0.972439676,
Akkermansia muciniphila,0.007383609,0.7054101,0.972439676,
Lactobacillus delbrueckii,-0.213821405,0.7149684,0.972439676,
Alistipes senegalensis,-0.124026235,0.723063,0.972439676,
Collinsella tanakaei,-0.149177784,0.7243098,0.972439676,
Enterobacter hormaechei,0.287159304,0.7269256,0.972439676,
Ruminococcaceae bacterium D16,-0.1713354,0.7393863,0.972439676,
Coprococcus comes,-0.0777741,0.7486449,0.972439676,
Bacteroides faecis,0.046837485,0.7488359,0.972439676,
Roseburia intestinalis,-0.01044716,0.7589029,0.972439676,
Desulfovibrio desulfuricans,-0.199977858,0.7606162,0.972439676,
Clostridium sp ATCC BAA 442,-0.087050863,0.7619043,0.972439676,
Lachnospiraceae bacterium 3 1 46FAA,-0.122951666,0.7682564,0.972439676,
Lachnospiraceae bacterium 2 1 46FAA,0.182970468,0.7689387,0.972439676,
Collinsella aerofaciens,-0.035893841,0.772937,0.972439676,
Eubacterium siraeum,-0.015239665,0.7787557,0.972439676,
Ruminococcus torques,-0.01110782,0.7806293,0.972439676,
Clostridium hathewayi,-0.048048116,0.7926001,0.972439676,
Clostridium leptum,0.06711607,0.7950118,0.972439676,
Vibrio phage pYD38 A,0.003819726,0.798012,0.972439676,
Ruminococcus gnavus,-0.011112431,0.8173653,0.972439676,
Lactobacillus fermentum,0.078388865,0.8177785,0.972439676,
Bacteroides xylanisolvens,-0.011074846,0.8264289,0.972439676,
Coprococcus eutactus,0.141053487,0.8284572,0.972439676,
Clostridium asparagiforme,0.043781113,0.8335298,0.972439676,
Bacteroides eggerthii,0.002834194,0.8338996,0.972439676,
Veillonella parvula,0.018429435,0.8369258,0.972439676,
Bacteroides finegoldii,0.009578616,0.8417313,0.972439676,
Bacteroides cellulosilyticus,0.007075726,0.8451217,0.972439676,
Bacteroides uniformis,-0.002126666,0.8508106,0.972439676,
Clostridium nexile,0.010329232,0.8560871,0.972439676,
Enterobacter aerogenes,-0.065527876,0.8586914,0.972439676,
Bifidobacterium pseudocatenulatum,0.009003181,0.8639905,0.972439676,
Eubacterium ventriosum,0.015654027,0.8696166,0.972439676,
Megamonas hypermegale,-0.007686527,0.8703706,0.972439676,
Bacteroides intestinalis,-0.013270069,0.8734916,0.972439676,
Bacteroides stercoris,-0.001302715,0.8746203,0.972439676,
Lachnospiraceae bacterium 3 1 57FAA CT1,0.056340284,0.8874957,0.980305708,
Streptococcus pasteurianus,0.126104619,0.9028814,0.9882153,
Pyramidobacter piscolens,0.014289668,0.9128819,0.9882153,
Dialister invisus,-0.009341186,0.9139197,0.9882153,
Streptococcus anginosus,-0.031715837,0.9216684,0.9882153,
Ruminococcus obeum,-0.020348987,0.927825,0.9882153,
Ruminococcus sp 5 1 39BFAA,0.007672724,0.9312362,0.9882153,
Bacteroides salyersiae,-0.005069904,0.9480541,0.9882153,
Fusobacterium mortiferum,-0.007313118,0.9570355,0.9882153,
Lachnospiraceae bacterium 1 1 57FAA,-0.003770363,0.9625192,0.9882153,
Lactobacillus salivarius,-0.002518742,0.9712741,0.9882153,
Streptococcus gallolyticus,-0.02720354,0.975181,0.9882153,
Coprobacter fastidiosus,-0.006674534,0.9807224,0.9882153,
Alistipes shahii,0.000533613,0.9817548,0.9882153,
Oxalobacter formigenes,-0.016806415,0.9842915,0.9882153,
Bacteroides clarus,0.000728642,0.9871567,0.9882153,
Streptococcus vestibularis,0.004035344,0.9882153,0.9882153,
