Species,Estimate,pvalue,padj,highlight
Alistipes senegalensis,-3.35E-02,0.6392733,0.9887457,
Veillonella dispar,-0.046587499,0.6488657,0.9887457,
Lactobacillus salivarius,-6.42E-03,0.6528608,0.9887457,
Bacteroides caccae,-1.62E-03,0.6593292,0.9887457,
Klebsiella oxytoca,4.94E-02,0.6597042,0.9887457,
Mitsuokella multacida,-3.21E-03,0.6624244,0.9887457,
Bacteroides plebeius,-1.32E-03,0.6628831,0.9887457,
Clostridium leptum,2.28E-02,0.6648284,0.9887457,
Lachnospiraceae bacterium 3 1 57FAA CT1,3.44E-02,0.6722878,0.9887457,
Bacteroides coprocola,-1.83E-03,0.6800228,0.9887457,
Escherichia coli,7.73E-04,0.68256,0.9887457,
Alistipes sp AP11,0.008175159,0.685085,0.9887457,
Streptococcus anginosus,-2.60E-02,0.6922708,0.9887457,
Collinsella tanakaei,0.033643736,0.6966876,0.9887457,
Lactobacillus vaginalis,-7.97E-02,0.7270988,0.9887457,
Bacteroides barnesiae,0.04220823,0.7412125,0.9887457,
Dialister invisus,-0.005691038,0.7468741,0.9887457,
Enterobacter hormaechei,5.29E-02,0.7527635,0.9887457,
Streptococcus vestibularis,-1.73E-02,0.7556388,0.9887457,
Vibrio phage pYD38 A,-9.08E-04,0.7656028,0.9887457,
Streptococcus parasanguinis,-6.81E-03,0.7671207,0.9887457,
Alistipes sp HGB5,1.34E-02,0.768374,0.9887457,
Bifidobacterium animalis,-6.36E-01,0.7705168,0.9887457,
Blautia producta,-1.36E-02,0.7761575,0.9887457,
Ruminococcus callidus,9.48E-03,0.7772396,0.9887457,
Lactobacillus crispatus,-1.10E-02,0.7896703,0.9887457,
Bacteroides sp 3 2 5,-2.78E-03,0.7918316,0.9887457,
Sutterella parvirubra,-3.65E-02,0.7948718,0.9887457,
Desulfovibrio desulfuricans,0.033561291,0.802177,0.9887457,
Coprococcus comes,-1.23E-02,0.8042259,0.9887457,
Dorea formicigenerans,-1.42E-02,0.8059547,0.9887457,
Ruminococcus champanellensis,-1.32E-01,0.8100524,0.9887457,
Clostridiales bacterium 1 7 47FAA,-4.09E-03,0.8144454,0.9887457,
Clostridium perfringens,5.13E-02,0.820308,0.9887457,
Streptococcus gallolyticus,-3.53E-02,0.8430739,0.9887457,
Prevotella stercorea,-4.18E-04,0.8473491,0.9887457,
Bacteroides stercoris,0.000323252,0.8478505,0.9887457,
Clostridium clostridioforme,-0.006450821,0.8639773,0.9887457,
Klebsiella phage KP36,2.92E-04,0.8780716,0.9887457,
Eubacterium cylindroides,1.92E-02,0.8783849,0.9887457,
Alistipes shahii,-7.15E-04,0.8805668,0.9887457,
Clostridium symbiosum,9.25E-03,0.8812599,0.9887457,
Coprococcus eutactus,-1.96E-02,0.8827598,0.9887457,
Pyramidobacter piscolens,-3.91E-03,0.883447,0.9887457,
Alistipes onderdonkii,4.13E-04,0.8841071,0.9887457,
Barnesiella intestinihominis,-1.44E-03,0.8851573,0.9887457,
Desulfovibrio piger,1.38E-02,0.8892751,0.9887457,
Eubacterium limosum,-0.138788109,0.8907506,0.9887457,
Lachnospiraceae bacterium 1 1 57FAA,-2.18E-03,0.8940356,0.9887457,
Bacteroides clarus,1.23E-03,0.8942454,0.9887457,
Coprobacter fastidiosus,-7.40E-03,0.8956026,0.9887457,
Roseburia hominis,-1.99E-03,0.9024276,0.9887457,
Bacteroides sp 4 3 47FAA,1.40E-03,0.9058093,0.9887457,
Bifidobacterium pseudocatenulatum,1.21E-03,0.9099707,0.9887457,
Coriobacteriaceae bacterium phI,-8.47E-03,0.9105847,0.9887457,
Clostridium sp L2 50,2.61E-03,0.9149204,0.9887457,
Akkermansia muciniphila,-4.11E-04,0.9179288,0.9887457,
Odoribacter laneus,-1.27E-03,0.9188534,0.9887457,
Lactobacillus gasseri,-1.16E-02,0.9234608,0.9887457,
Bacteroides faecis,-2.41E-03,0.935555,0.9887457,
Subdoligranulum sp 4 3 54A2FAA,0.004212844,0.945462,0.9887457,
Parabacteroides goldsteinii,0.001876983,0.9480188,0.9887457,
Lactobacillus mucosae,-3.49E-03,0.9507178,0.9887457,
Bifidobacterium dentium,-3.72E-03,0.9509807,0.9887457,
Bacteroides nordii,-8.76E-03,0.9581902,0.9887457,
Megamonas hypermegale,-4.96E-04,0.9588604,0.9887457,
Bacteroides ovatus,-9.50E-05,0.9609965,0.9887457,
Lactobacillus fermentum,-1.85E-03,0.9787248,0.9887457,
Bifidobacterium catenulatum,1.62E-03,0.9790906,0.9887457,
Adlercreutzia equolifaciens,-4.20E-03,0.9863565,0.9887457,
Lactobacillus delbrueckii,-1.76E-03,0.9882633,0.9887457,
Weissella cibaria,2.88E-03,0.9887457,0.9887457,
