feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Escherichia_coli	BMI	BMI	0.00331916680196738	0.00128664100679188	295	266	0.0103856919621788	0.13944318282748
s__Alistipes_indistinctus	Age	Age	8.92538620544023e-05	3.52054962581272e-05	295	96	0.0117685446223353	0.153627217637513
s__Alistipes_unclassified	HDL	HDL	-0.012604364660547	0.00507619807907707	295	65	0.0135982949525299	0.172841485843998
s__Bacteroides_fragilis	FBGlu	FBGlu	0.00611075563548917	0.0024938642100777	295	127	0.0148701826996548	0.179557456098332
s__Megasphaera_unclassified	Gender	Gender	0.006058867511896	0.00246579394012431	295	98	0.0145954440152378	0.179557456098332
s__Eubacterium_rectale	Gender	Gender	-0.00862201465812842	0.00355968865342187	295	143	0.0160494723698731	0.189070613528017
s__Alistipes_shahii	TCHOL	TCHOL	0.00702911767597872	0.00292621387336197	295	136	0.0169357980205267	0.19433249623437
s__Collinsella_aerofaciens	TCHOL	TCHOL	0.00229845495444076	0.000960030128923611	295	194	0.0173008226461241	0.19433249623437
s__Escherichia_unclassified	BMI	BMI	0.00158359358641459	0.000679604918624539	295	223	0.0204905384424435	0.224930228811368
s__Bacteroides_massiliensis	Age	Age	-0.000415420544605679	0.000180183787620682	295	122	0.021849542082731	0.234518418354646
s__Alistipes_indistinctus	TCHOL	TCHOL	0.00157624022624745	0.000687428619686631	295	96	0.0225740009107984	0.237027009563383
s__Alistipes_onderdonkii	Age	Age	0.000637316345018097	0.000279176642997338	295	183	0.0231709269798533	0.238118249601471
s__Oscillibacter_unclassified	Age	Age	-5.58129160374399e-05	2.45885837400815e-05	295	194	0.0239570728122312	0.241068045173076
s__Bacteroides_cellulosilyticus	Gender	Gender	0.00553218287533741	0.00245119787959141	295	112	0.0247644243165342	0.241408354481004
s__Subdoligranulum_unclassified	Gender	Gender	0.00914886472311507	0.00406007679004594	295	268	0.0249905128862323	0.241408354481004
s__Clostridium_bolteae	FBGlu	FBGlu	0.000452324701294543	0.000202603535139807	295	81	0.0263492733571858	0.249543118265113
