feature	s__Acidaminococcus_unclassified	s__Akkermansia_muciniphila	s__Alistipes_finegoldii	s__Alistipes_indistinctus	s__Alistipes_onderdonkii	s__Alistipes_putredinis	s__Alistipes_senegalensis	s__Alistipes_shahii	s__Alistipes_unclassified	s__Bacteroidales_bacterium_ph8	s__Bacteroides_caccae	s__Bacteroides_cellulosilyticus	s__Bacteroides_clarus	s__Bacteroides_dorei	s__Bacteroides_eggerthii	s__Bacteroides_finegoldii	s__Bacteroides_fragilis	s__Bacteroides_intestinalis	s__Bacteroides_massiliensis	s__Bacteroides_ovatus	s__Bacteroides_plebeius	s__Bacteroides_salyersiae	s__Bacteroides_stercoris	s__Bacteroides_thetaiotaomicron	s__Bacteroides_uniformis	s__Bacteroides_vulgatus	s__Bacteroides_xylanisolvens	s__Barnesiella_intestinihominis	s__Bifidobacterium_adolescentis	s__Bifidobacterium_bifidum	s__Bifidobacterium_longum	s__Bifidobacterium_pseudocatenulatum	s__Bilophila_unclassified	s__Clostridium_bolteae	s__Collinsella_aerofaciens	s__Coprococcus_comes	s__Dorea_formicigenerans	s__Dorea_longicatena	s__Eggerthella_unclassified	s__Escherichia_coli	s__Escherichia_unclassified	s__Eubacterium_eligens	s__Eubacterium_hallii	s__Eubacterium_rectale	s__Faecalibacterium_prausnitzii	s__Klebsiella_pneumoniae	s__Megamonas_unclassified	s__Megasphaera_unclassified	s__Odoribacter_splanchnicus	s__Oscillibacter_unclassified	s__Parabacteroides_distasonis	s__Parabacteroides_goldsteinii	s__Parabacteroides_johnsonii	s__Parabacteroides_merdae	s__Parabacteroides_unclassified	s__Phascolarctobacterium_succinatutens	s__Prevotella_copri	s__Roseburia_hominis	s__Roseburia_intestinalis	s__Roseburia_inulinivorans	s__Ruminococcus_bromii	s__Ruminococcus_gnavus	s__Ruminococcus_obeum	s__Ruminococcus_torques	s__Streptococcus_parasanguinis	s__Streptococcus_salivarius	s__Subdoligranulum_unclassified	s__Sutterella_wadsworthensis	s__Veillonella_unclassified
MBS1123	0.0500106865631042	0	0	0.00144440639380309	0	0.020168054300694	0	0.00103445121260108	0	0.00114182283621385	0.0147991695245127	0	0.00540673302050849	0	0	0	0	0.00149126130589801	0.0174721258812367	0.00626267005398334	0	0	0	0.00283416558991447	0.00674295820258485	0.00562005948853461	0.00104214229968361	0	0.0111610829374447	0.0177713698878559	0	0	0.00170479017095263	0	0.00535542537378683	0.020664331814546	0	0	0	0.00893471562407909	0.00301500733486831	0	0.00317773454577249	0	0.0142462208426841	0.00723883092237993	0	0.0334741409460523	0	0.00444140039313599	0.0167971317912299	0	0.0022677575056914	0	0.0132604461154343	0.0484483839002069	0.396278303200464	0.0141605057011195	0.00297270635591437	0.0127273323423975	0	0.00285298851356384	0.0103510900294366	0.0119179466254748	0	0	0.00418304058627133	0.0136814319346889	0
MBS1124	0.0517565776684721	0	0	0	0	0	0	0	0	0	0	0	0	0.00335790671579303	0	0	0	0	0.0643390388374487	0.00341675473471578	0	0	0	0.0171599599303125	0.0548721570134498	0.0140538656213137	0	0	0.0224027370754146	0.00124845511201624	0.0179115215445963	0.00193535529822891	0.0155941130767233	0	0.0310242268216827	0.00630224546497992	0.0050360441566161	0.029991785754863	0.00167619963777362	0.0011497291461285	0.00168762247680195	0.0181575205422422	0.00159919746396655	0.131795288854022	0.0898791810395559	0.00843413478827666	0.0541782195424786	0	0.0115311520198333	0.00499392243769912	0.00439044977224695	0	0.00939569305934022	0	0.0223940679565092	0	0.0820019096539104	0	0	0	0	0.0211452048859562	0.00209547902389393	0.0112254890861912	0.00300492059189072	0.0149226133252721	0.00394842669770415	0.0740940413780105	0
MBS1141	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00146701533442765	0	0	0	0	0.00437603659425528	0	0	0	0	0	0	0	0	0	0.154748971615134	0.073269638638439	0.131956555199934	0.0575132026296885	0	0	0.0834476547985838	0	0	0.0156553817299964	0	0.00491790712318801	0.00232821331765264	0	0	0	0	0	0	0.017227619578016	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0217098953285067	0	0.00167746036161166	0.0344222999343859	0.0704364589198091	0	0	0.0310885253781453
MBS1150	0	0	0	0	0.0137779504236568	0.042038428544838	0	0	0	0.00813849976126312	0.0120031035794346	0	0	0.0166199308876966	0	0.0136130601212298	0	0	0	0.00446296341256161	0	0.00451334094054238	0.121581105796855	0.00721541754675601	0.140509096279751	0.0102788365825827	0	0.00732669321097057	0.0176166573599748	0	0	0	0.00274921702396271	0.0014420314485259	0	0.00124466888408718	0	0.011892637192778	0.0132558652391011	0.232368573324593	0.145466629439899	0	0.0139230134259147	0	0	0	0	0	0	0.00614605841365413	0	0	0	0.0169179473484021	0.0227156117733699	0	0	0	0.00128938146916248	0.0130814659253684	0.00842569213463142	0.00810107067420913	0.00279777367743815	0.0154395995694643	0	0	0.016455242904659	0	0
MBS1151	0	0.00280846704633712	0	0	0.0165326370175148	0	0	0.00236921659910721	0	0	0.0227012939902737	0	0	0.00566070714762311	0	0	0	0	0	0.0739800092916415	0.0891014719196359	0.0043061742805944	0	0.00360063774909224	0.00528975077223471	0.070507245605849	0.00200292124345874	0	0	0	0.0041472943033726	0	0.00611647381697493	0.00512570314269256	0	0	0	0	0.0204516426801471	0.0100491585592788	0	0	0.00688584605361085	0	0.0161651257436733	0	0	0	0	0.013091689857773	0.00198883685772288	0	0	0.00411720032809526	0.0465724026087525	0	0	0	0	0	0.132037772498666	0.171105426693559	0	0.0200950746700429	0.00431873876858898	0.00648570764158987	0.00628994481251301	0.0266842366845559	0
MBS1152	0	0	0	0	0.0392735749937407	0.0557883066316425	0	0	0	0	0.0212559027911768	0	0	0.0232315859235326	0.00506138984278535	0.00285712452984107	0	0	0.048865473837624	0	0	0	0.00117284549585686	0.075480890580612	0.032648866308748	0	0	0	0	0	0	0	0.0152074859289595	0	0.0137122835583841	0.00196621402643387	0.00119046006923851	0.00505477165047433	0.00559369614127825	0.151650582253287	0.0540448711402321	0	0.00126071472607862	0	0.0771631332477313	0	0	0	0.0044438615909951	0.00264717510606671	0.00229111635973357	0	0.00447807255432594	0	0.0651748378771975	0	0.0111467667636011	0	0	0.0125932999661047	0.0133787266659085	0.00643420656477841	0.00180014830859877	0.165898837570521	0.00206884691642638	0.00374538775632386	0.00586514384437351	0.00201427228444624	0
MBS1159	0.0141836948352581	0	0	0	0	0.0109039284569096	0	0	0	0	0.0099862736152991	0.00131660002407428	0	0	0	0	0	0.00156513154367711	0.0133183357997667	0.00375558740733173	0	0	0	0.00290277127311459	0.00914387618133394	0.00377500867382084	0	0	0.0861117714116934	0.0263190529704928	0.00339851933073506	0	0.00139833118721595	0	0.0271980675839843	0.0116743053609776	0	0	0	0.00786247720277117	0.00266384923432668	0	0.0128948105769027	0	0.0186064836684345	0	0	0.0350371785755108	0	0.00181487689243552	0.0119436742810844	0	0.00364553356389344	0	0.0167387040553021	0.0365299861320019	0.32893353981916	0.0361664442999089	0.00181002157581324	0.0314356463185067	0	0.00754111593383417	0.00757409162589381	0.0302403280575598	0	0	0.00592884735794911	0.008574286850083	0
MBS1160	0.0137337814919695	0.15573688202466	0	0	0	0	0	0	0	0	0	0	0	0.0034724223694225	0	0	0.0203200074722372	0	0.0596405282555619	0.0227349097227928	0	0	0	0.0114688102478248	0.072905066219359	0.00803417454420721	0.00221553453392275	0	0.0265346476879676	0.0545296031174303	0.0192569155929969	0	0.0222481404756278	0.00221320452503934	0.0242761599468029	0	0.00237367122379259	0.0167772796173761	0.00356744620997209	0.137884455264691	0.0537909903013887	0	0.00151166924166417	0.0153888982370646	0.0211048152470108	0	0.00415612801960287	0	0.0156108569093931	0.0182940140957433	0.00675763359029955	0	0.032146828650235	0	0	0	0.00867442046347524	0	0	0	0	0.00354586830161702	0.00101912562465765	0.0107575497099797	0	0.00147499692793394	0.0095581016586928	0.0406007087076585	0
MBS1163	0	0	0	0.00132423577707064	0	0.0323107239662835	0	0.00299522999174394	0	0.00105701467565303	0	0.00757603272230939	0.00120675588510345	0.00954569775041225	0.0379735996914276	0	0	0	0.0250501014202487	0.00279019815956285	0	0	0.02128222301985	0.00471765970315936	0.0333655067268905	0	0	0.00806776418721871	0.0734545560791989	0.0226716915866745	0.00723972370514941	0.0145697385189783	0.00139910638179585	0	0.0300482722644178	0	0	0.0155794771759295	0	0	0	0.00531449407659892	0.045573168972404	0	0.147045461877572	0.00317073967490737	0	0	0.00247813585585725	0.00129339476916216	0.00161083395911497	0	0	0	0.0080344883628964	0.0103943327213152	0	0.00181799625565816	0.0228804770941602	0.0216749386172637	0.134761204365707	0	0.0206747363246	0.0211158438982385	0.00147509294404406	0.00849913249520189	0.0850492532925312	0	0
MBS1168	0.110885058909885	0.149176277757744	0	0.0056320973059204	0	0	0	0	0.0157032443705876	0	0	0	0.0165880389160895	0.00274050859576662	0	0	0	0.00136343865362524	0.0232143941449898	0.0169297505350281	0	0	0	0.0602996570285195	0	0.0592621300912346	0.0122733230313838	0	0	0.0296801686644766	0.0148177269537251	0.00476981503993761	0.0120760824172488	0.00300280763236497	0.034188201004502	0	0.00440868916159727	0.0248161738129729	0.00780535841820876	0.0219884043172356	0.00667540721409095	0.0034216599522244	0	0.0411538927035843	0	0	0.00141187103479242	0	0.00379445503967325	0.0474587767116458	0.00679974108813206	0	0	0.0184913592088235	0.00699099219670693	0	0	0.00142891014543759	0	0	0	0.0115051173096298	0.00585629069507592	0.0228865203492419	0	0.0013419590474786	0.0107626251548494	0	0
MBS1169	0	0	0	0	0	0.00191495811565939	0	0.00168032496993826	0	0	0.00247809787496337	0	0	0.00114133565069774	0.0082384325454968	0	0	0	0.0105203965118277	0.00549629659569738	0	0.00239240928427796	0.0376554874043835	0.00284752887442782	0.0060612552165961	0.0213428250962481	0	0	0	0	0	0.02566706748987	0	0	0	0.00603104190455018	0.00203096106625709	0.0232748603013247	0	0.0204756323070238	0.029624202984954	0	0.00625587340723301	0.0917263017491386	0.219620363166032	0.0411328476299223	0.0365125349878237	0	0	0	0.00150854359710195	0	0	0	0.00522276002142215	0	0	0.00159120075179613	0.0203906510514031	0.0439948263492416	0.00620686519204147	0.0040150359225165	0.0032620272222952	0.00462243464729242	0	0	0.0292426462415246	0	0
MBS1215	0.00853852431507097	0	0.0012328963920351	0.00250190945520366	0	0.15536979447099	0	0.0303095329500741	0	0.00558037780251283	0.0655417983567015	0.127097785031964	0.00884596873563884	0.103026476437444	0.0894723625976961	0.00106337942585157	0	0	0	0.0116230288748259	0	0.0029698165232865	0.011924437082948	0.0156659833674178	0.002899092234131	0.0389992643869099	0.0104831907579954	0.0763339425883762	0	0	0	0.00686860614196689	0.017182179330238	0	0.00163289607010377	0	0	0	0	0.00688631236514095	0	0.0221530002792754	0	0.0204515931979129	0.0481088143993446	0	0	0	0	0.0215114514998378	0.00392786404196053	0	0.0149177948347728	0	0.0153653799876217	0	0	0	0.00194929420579943	0	0	0	0	0.00272374026258329	0	0	0.00671830445206885	0.0308646632879974	0
MBS1216	0	0	0	0	0	0	0	0	0	0	0.0299630918684684	0	0	0.0144638645766444	0.211693837745133	0	0	0	0.0363559247015504	0.00223080719952451	0	0	0.05052140488965	0.00864371298171816	0.183509008438467	0.022154714664032	0	0	0.00142317209201681	0	0	0	0	0	0.00184400147014279	0	0	0	0	0.059263073863033	0.0430189394296753	0	0	0.00284825111419922	0.0472889575294535	0.131651447691199	0.0116311699980068	0	0	0.00224626337034049	0.0125990876041711	0	0	0	0.0129836853091505	0	0	0	0	0.0122612598706218	0	0.00436195220670962	0	0	0	0	0	0	0.00474755355914464
MBS1217	0	0	0	0.00418105775205939	0.00336164235878319	0.0419427769391977	0.00266508402398154	0.0210222189451411	0	0	0.019757986663128	0.00512684614579426	0.00109185066930476	0.00747660040154067	0.0647656604576471	0.00310025718613337	0	0	0	0.00857377521156427	0	0	0	0.00478509658493541	0.027510036005255	0.00206215020144338	0.00559316050837708	0.0447129374007625	0.203346513762703	0.0114396697505831	0.0634204610545134	0.00413062909845823	0.00118607791447983	0	0.0220127100298172	0	0.00263012551511061	0.00910036286530386	0.00150562681309594	0.105693937451191	0.0290399730457842	0.00482447513515783	0.00755877298848438	0	0.0363872872377936	0	0.00714519775566373	0.011002085656785	0.00526105467410332	0.00347525751261369	0.00281295449828613	0	0	0	0.00108481878533647	0	0	0.00736660164517957	0	0	0.112499696122157	0	0.0118339575302336	0	0	0.00217817628692015	0.0142980301282073	0	0
MBS1218	0.00140537521272238	0	0.00827866110868332	0	0.0247723315319808	0.12661550418717	0	0.025758027906276	0	0	0.0817762395708499	0.00239449589239463	0	0.0329764636412794	0.0123387794224627	0.0123702024600411	0.0175096819716667	0.00649681373420401	0	0.00144888403398482	0.0979774340289944	0.0186214733557316	0.056741344388334	0.0449628417544892	0.137806738448836	0.00324896079885419	0.0196387941973333	0.0556715511025709	0	0.00113505651765668	0	0.00242873894616599	0	0	0.00137183716299925	0	0	0	0	0	0.00300563368734944	0.00843960346140873	0	0	0.0201898052184601	0	0	0	0.0861422289266988	0	0.00274790435028791	0	0	0.00539096452711702	0.00237445363445198	0	0	0	0.00165665879848577	0	0.00283099411311548	0	0.00142007958287126	0.0101327210406746	0	0	0	0.00389192449084356	0
MBS1219	0.0061793387793834	0.00942457527894985	0.0204391327060028	0.00109917172314759	0.00455920757311857	0.14291699142041	0.00220666742868327	0.0315107398660082	0	0.00911394861910208	0.0729256991180842	0.0130254082456557	0	0.0115600828094131	0.0751251591961632	0.151269397162984	0	0.0395064325096584	0	0.029811327803096	0.0303234557439234	0.00725658391477704	0.0477269741897669	0.053127107008042	0.0134928709151325	0.00549646768762003	0.00118261457098905	0.0319085653169701	0.00968079151733408	0.00433770843201144	0.00106526672171323	0	0	0	0.00158165816571506	0	0	0	0	0.00120921070983876	0.00226148389806817	0	0	0	0.0118828909069019	0.0294387788352394	0	0	0	0.00152004039364722	0.0146385351252769	0.00512686256719332	0	0.00889265250195563	0.00334461672832166	0	0.0606916782711779	0.00332147199680359	0	0	0	0	0	0	0	0	0.00670476478963571	0.0036582887475797	0.00237944081922604
MBS1220	0	0	0	0	0.00395155688441908	0.0906561766985795	0.00118097711737288	0.0208080899600334	0	0.00532582324101759	0.0304167799220803	0.0483115379581811	0.114152497156031	0.0914963808603385	0	0.0394861727723919	0	0.00164406591968429	0.138712512458095	0.0376317034620922	0	0.0199482548599156	0	0	0.172577793885214	0.0256635760522686	0.00143537394420787	0.011270272719036	0	0	0	0	0	0	0.00456253208903386	0.00116466833781321	0	0	0	0.0089866408947681	0.00407487944590418	0.0035600455035084	0	0	0.00884237866570022	0	0	0	0.0104962097188246	0.00137406501364099	0	0	0	0.0115446024986661	0.00237292742593096	0.00364873707629891	0	0	0.00870153926691029	0.00185436863882094	0	0	0	0.0011042654505552	0	0	0.00170235470588827	0	0
MBS1222	0	0	0	0.00755721144365052	0	0.0995717432234708	0	0	0	0.0528276497221702	0.0212206755572861	0	0	0.00562882025370595	0	0	0	0	0	0.00471904570005684	0	0	0	0.00888500415345019	0.217169914192291	0.020983623755415	0	0	0	0	0.00249287709771931	0	0	0	0	0	0	0	0.00155031878423696	0.3106385318121	0.0704864958649592	0.00115187001087916	0	0	0.00303123687073464	0.11626503198434	0	0	0	0.00418532608997175	0.00544966961535571	0	0	0	0.003840945302062	0	0	0	0	0	0.00848161259784061	0.00272821405676836	0	0.00359602539783093	0	0	0.00316771818474809	0	0
MBS1223	0	0	0	0	0.0529115438869582	0.116498360151539	0	0.00756960102542164	0	0.0164267049700148	0	0.0193788002910378	0.0496769381969969	0	0	0	0.141199868468571	0	0	0	0	0	0	0.0455009380203129	0.0119946765762402	0.0799206803315933	0.00467466216340571	0	0.0106376452275072	0	0.0047856009076323	0	0.0023884038031233	0	0.00691378433835315	0	0.00102840727136496	0.0027773540179048	0	0.0110902957534898	0.00624416421306292	0	0	0.0292749452668113	0.0140451517621571	0.0617714085191958	0	0	0	0	0.0184660351576639	0	0	0.0145554699855994	0.0755069542744238	0	0	0	0	0	0.00835915769170522	0	0	0.00732768298962431	0.00237173742956668	0.0107635121345514	0	0.13585262099685	0
MBS1226	0	0	0	0	0.0226977965066353	0.122176821912119	0	0	0	0	0.137951630024941	0	0	0.00557955682250768	0.21627085367159	0.0138838029274213	0	0	0.0270071596029704	0	0	0.0175235628682516	0	0.11847338126254	0.0710808497521583	0.0758937230337852	0.0047996944935603	0	0	0	0	0	0	0.0079841323367621	0	0	0	0	0	0	0.00185136821976504	0	0	0	0	0.0199208950791411	0.00276181121215072	0	0	0	0.0455126930843354	0	0	0.0261821272294284	0.0430842750298384	0	0	0	0	0	0	0.00246493637562805	0	0.00582794176706019	0	0	0.00934366013776763	0	0
MBS1227	0.0107257555627685	0	0.00267831402299499	0.00297406763020114	0.0577880775209114	0	0	0.00588311785186514	0.0274345239415267	0	0	0	0	0.0830299523608879	0	0	0.0051351656482286	0	0	0.104703631499473	0	0	0	0.018074637968957	0.0534129603383728	0.342328046594801	0.0049367869505525	0	0	0	0.00185536499462724	0	0.00311619870932884	0.00442652629626568	0	0	0	0	0	0.0109501412238595	0	0	0	0.0202074105733427	0.00631434959406961	0.0465119420347122	0.00194215567486054	0	0.0142132087149536	0	0	0	0	0	0.111614226010592	0	0	0	0.0035099320391677	0.0153566078855532	0.0123497795456241	0	0.0027050266016963	0.00223105473356975	0	0	0.00240755935736592	0	0.00203096239876941
MBS1228	0	0	0	0	0.046878321797933	0.115892449486484	0	0	0	0	0	0.00134899033479084	0	0.0614864671338917	0	0	0.012208281848617	0	0	0.0165451002081173	0.163298426594796	0	0.0318618285354217	0.00642071394022569	0.059707950047017	0	0.00172244362499198	0	0	0	0.0428590849698514	0	0	0	0.00126861164932222	0	0	0.00311560693874801	0	0	0	0.00204637880407005	0	0.175061448849506	0.0411832347610282	0.00441528086551607	0.00890630124519392	0	0	0	0.0162632201254513	0.00193987956711287	0	0.00985571773829507	0	0	0	0	0	0.00301152813899441	0.0135653403074197	0	0.00383790574091398	0.00333384969327009	0.0230025241125971	0.00752251712560173	0.00436848574624701	0	0.0022236758292317
