Index,MBE035,MBE036,MBE037,MBE038,MBM135,MBM137,MBS1533,MBS1558,MBS1559,MBS1563,MBS1567,MBS1579,MBS1587,MBS1592,MBS1594,MBS1605,MHS232,MHS236,MHS238,MHS239,MHS243,MHS246,MHS253,MHS266,MHS267,MHS276,MHS279,MHS283,MHS287,MHS289
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway),4.8335774495,0.0,4.957374731,10.4493298309,31.3446578949,0.0,8.7756469159,48.671438586,0.0,0.0,0.0,25.4010750055,4.5758158995,6.1169604817,14.9418187993,0.0,4.6255652133,1.2086995142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis,320.7866366953,356.8083854665,808.9708614954,320.7879391341,478.449476215,320.966028122,329.7746011535,201.4914319682,229.8428275959,359.0810356256,490.8906464671,389.0851399778,260.6205989119,297.1023240338,232.1158938895,187.751539262,458.9767290579,321.7613612283,487.9489253919,178.29987021,381.8756715377,216.4070526078,963.1536678804,612.8036554335,551.6738600093,231.2131110439,498.4663698902,215.9793606706,367.4850138599,248.0935835125
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I,231.5313835318,421.4755698832,57.6610704297,78.8300575203,579.1155024148,87.5627617413,569.6978327985,723.8761598591,912.7603168386,607.4224113604,512.1611922787,336.750703858,742.0897686239,279.9020156364,176.4950153434,348.5499884047,387.0328164711,189.5799142824,58.5449184823,44.1089787101,271.6358976974,82.9370918359,43.9304994106,57.297897824,62.7729183602,288.7715333902,399.7598678509,82.0042971093,179.67320315,61.7750029317
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle),302.7149557553,633.4397691506,294.0591446699,194.1584281892,1479.3854016531,201.1633807929,301.7553998934,140.8030090656,68.5792130561,12.4082545049,39.7427707376,164.460593969,24.0763147733,164.5357835684,140.1785211414,97.2967983845,236.3088581595,249.3689682674,33.4253327122,180.4944331993,167.0498821513,166.2907448305,500.8250485394,685.1946622923,705.7143206025,177.7846342089,115.9949258296,966.7340198131,507.7201736323,277.0759009013
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis,369.9516211769,96.918102604,653.8119246866,662.969758688,831.2111188093,522.362914768,228.1481635574,190.8815056784,55.4837771826,181.9249616112,26.0735529064,220.531457941,42.5034153909,505.2804190885,196.95656357,121.5004755031,292.4411434233,417.4639708324,510.6334622562,293.9743264534,434.4927313017,245.7359140841,939.1506972251,845.6843570166,898.92309001,49.5871479751,295.2949039595,204.2421938521,283.6990739451,225.9907525561
COLANSYN-PWY: colanic acid building blocks biosynthesis,65.9406060894,35.3452969514,70.5252276447,99.2863743171,563.7137528161,19.5630377545,149.0404644006,125.6422591886,62.4238387695,93.656566542,68.9578085112,126.1004643068,70.6093000887,83.6932043242,116.0661677141,37.9923942936,26.6230385583,78.8342989398,0.0,8.1125311159,18.2016414832,0.0,7.2484417189,8.07062752,15.8218762027,13.0266369592,128.1314903826,93.6173328353,27.1890360006,17.4406024184
PWY-7389: superpathway of anaerobic energy metabolism (invertebrates),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7977226811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PWY-7409: phospholipid remodeling (phosphatidylethanolamine, yeast)",2.7827766013,11.8974967024,0.0,4.4631088436,773.6187498375,0.0,64.0723580802,17.6795864767,45.1372069012,2.774788916,0.0,2.6757448285,2.6073551777,29.5846372058,0.0,8.6678375084,4.88455781,3.9882425276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1064846811,51.4309109205,2.1385323008,1.7066970787
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose),939.7476468125,784.3619555536,609.6741518962,636.0177807987,1301.6796566625,611.5216143865,591.6001917613,609.0657425885,906.53879107,564.0473088347,473.0602922279,518.2022722156,754.1441315532,686.2392237307,462.8030962587,407.081239733,713.2208526814,838.3974584095,1348.3150180269,548.6417222818,881.8128544467,466.4611846807,773.8436443081,854.3387155478,1467.1453013946,168.4313905274,804.0008675094,440.9589827804,613.6597758136,317.633958497
PWY-7456: mannan degradation,0.0,70.5711457518,0.0,132.291282217,0.0,38.2334037448,203.5723280502,0.0,0.0,16.028097209,0.0,7.5991463937,16.0973787613,75.3732644638,53.0557601758,5.2040380258,113.6461939177,0.0,0.0,192.8252646198,241.423822423,17.640741128,3.5632068459,4.9407442016,0.0,0.0,131.651353409,38.7801690386,0.0,63.940031722
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,137.2280704188,265.628944626,225.3735818,280.2272907971,943.2815847597,168.9636946121,122.8379620142,22.7067277697,146.0153387418,27.545222743,177.8949918974,160.0102792271,534.928564242,46.8828438662,95.522454465,54.5023894008,319.5696693455,141.3860855725,0.0,236.1165590852,66.9488802308,53.8804549468,395.2115899735,581.6010510807,646.0753514045,0.0,13.0773109551,266.353944086,541.7994981035,154.5051274953
PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation,0.0,0.0,0.0,5.848399031,0.0,0.0,0.0,16.6668894533,0.0,0.0,0.0,0.0,0.0,0.0,9.4489371047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-5676: acetyl-CoA fermentation to butanoate II,93.3457029023,5.7214040104,52.7380839869,74.6837163261,184.917715381,96.8283836458,86.1936710444,106.7546314084,43.8269613843,0.0,0.0,23.5895877306,14.5624247837,43.4848824421,51.676256537,27.8892402822,25.1212876706,38.9263463933,33.7825211084,51.9912861155,11.3838696457,67.38973361,102.8267620553,141.6280643768,64.3362890834,4.3415467447,0.0,32.0335149241,0.0,0.0
PWY-5005: biotin biosynthesis II,30.1395205847,0.0,86.2404042743,0.0,70.694963256,13.9814968315,7.3571673288,0.0,0.0,5.4099134726,10.2096808601,0.0,0.0,3.6627151466,0.0,3.5270076046,0.0,0.0,18.292612816,15.4142304698,33.2494149787,0.0,0.0,6.4933887834,6.5534513269,2.0943278096,0.0,6.9996471039,0.0,3.9693529614
PWY-5431: aromatic compounds degradation via &beta;-ketoadipate,0.0,0.0,0.0,3.4199689205,0.0,0.0,0.0,6.2942131003,0.0,0.0,0.0,0.0,5.2008902106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)",45.3345059623,19.9988242552,43.9046990237,41.8937202481,998.9455553278,4.1858726431,142.3644787951,203.580969744,90.095921531,10.1728579659,4.1380441491,99.6627694567,7.21035636,62.0963993789,130.369294864,41.2953914124,20.6744645351,18.1172651246,41.8058473996,0.0,8.6553360107,0.0,0.0,4.9853878658,8.4603948154,24.0004074629,22.8491372042,90.9911221772,9.5580686122,47.0775963921
PWY-2941: L-lysine biosynthesis II,193.8334049825,138.2417590034,602.6886037815,437.2014752223,364.9165376083,301.2007381471,190.407534128,99.7146500129,79.0980547616,0.0,316.2493800588,59.1227305633,19.5713694654,151.5458193148,119.0000355346,112.8820629484,404.3797809773,239.9054989496,14.3076230831,370.6655224601,92.1200829233,129.2642135928,622.7338671976,877.6175577623,658.2282924261,237.3441492008,61.7193100769,457.6133208658,468.3123963908,242.29714774
PWY-4361: S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1681606535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II,95.0157111413,53.2441736248,77.7209196077,42.0937384202,166.4704940319,132.5681491053,194.9083232004,292.6885610918,195.9944882604,160.2119553575,13.8404809496,134.2148870968,20.5656976873,119.6322639476,208.1008054711,126.3820393766,174.2741835403,252.1427982116,16.9751917578,63.7343282213,128.1880078218,98.7456419246,215.6137024018,444.3323518576,75.2362016562,57.8847700494,503.2070302941,110.662294852,172.1446547846,65.6984300878
URDEGR-PWY: superpathway of allantoin degradation in plants,4.9926877758,0.0,0.0,0.0,31.1982795106,0.0,0.0,0.0,0.0,1.8551162589,1.2963699336,0.0,0.0,8.1465666231,12.4433413178,0.0,0.0,2.47550817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5026493779,18.4623336551,2.5972417377,0.0
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis,47.3954766545,4.4462230316,51.4283203879,39.5762764732,630.5053676652,0.0,173.9618557102,169.9011330946,110.2715126306,3.9794080165,11.1811221505,148.1381874025,27.5906701778,39.9497955286,70.2218516369,26.9184795578,38.4112398612,36.9395526895,2.4346626026,0.0,17.0257207311,0.0,0.0,21.5125246021,0.0,6.2677223306,91.763582121,116.06768063,19.4311100782,13.4740071987
PWY-5705: allantoin degradation to glyoxylate III,4.9926877758,5.8049471493,7.9598794004,0.0,472.5665031677,0.0,27.7852078629,8.7908694784,6.3664800215,1.8551162589,4.2022348809,0.0,1.6169991804,16.3623442579,18.9973059506,1.6353522904,0.0,9.0360225722,1.3714641549,0.0,5.9230700617,0.0,0.0,0.0,0.0,0.0,6.5026493779,24.7681562528,2.5972417377,6.6675821206
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli),13.1770734109,9.4090857972,0.0,29.9945769186,591.4915193222,0.0,69.3037195622,11.7144457505,24.3953422138,0.0,2.4813041956,9.9757083133,4.111635167,16.0313415732,22.5467672877,6.9718691533,5.0474587257,15.8151940993,2.8676164029,0.0,9.1180603908,0.0,0.0,0.0,0.0,0.0,21.8808183178,42.2163713847,12.6120370557,7.9332509352
PWY-6531: mannitol cycle,31.7291691656,0.0,9.8554936081,0.0,15.4943961107,1.6939699593,48.1178046733,6.3541148932,59.7811290408,108.9176478481,55.6979183882,74.746793141,63.2387760457,27.4151109277,23.0224789863,9.8046405188,13.4753920295,38.9890591819,0.0,8.0596361174,3.3889535952,1.6566170841,6.5851421248,4.754832303,4.9767827077,0.0,98.1754837058,1.6311874352,3.2114814439,9.0169838331
PWY-7111: pyruvate fermentation to isobutanol (engineered),2081.0859419008,1277.8606815518,1643.6712130717,1416.476316486,1867.1037304001,1300.7675594784,853.3712914994,478.8195890926,514.7265275996,935.1085562933,376.3822884315,574.1291171727,855.2928196077,873.1256776555,392.1687325881,394.9064799758,1371.9262888416,1393.3756762191,1123.3377162708,1256.2798879032,1218.8547311673,676.6446440545,1437.9458732455,1603.7521540765,1763.880513186,803.1271789278,1150.0744878473,1113.6486999928,837.4752127639,442.5764775627
