Index,MBE035,MBE036,MBE037,MBE038,MBM135,MBM137,MHS232,MHS236,MHS238,MHS239,MHS243,MHS246,MHS253,MHS266,MHS267,MHS276,MHS279,MHS283,MHS287,MHS289
REDCITCYC: TCA cycle VIII (helicobacter),211.1335028873,63.9016090339,80.3892836891,199.4193337819,599.8685269896,22.7305296577,64.8314687404,113.1979733916,221.5487586834,25.2518514986,55.2349744288,0.0,16.8988918268,209.1887664352,28.9092166392,38.2687861225,164.8605561809,258.0183369356,17.8755792995,86.1163910983
PWY-6629: superpathway of L-tryptophan biosynthesis,145.6904201047,22.5831111698,0.0,138.9584273971,3422.62505511,0.0,40.9439177992,135.6422393969,0.0,0.0,15.253867666,0.0,0.0,0.0,15.1787827365,31.7204518287,192.339713879,550.1210615534,48.7491788621,0.0
PWY-5971: palmitate biosynthesis II (bacteria and plants),364.6891139833,0.0,327.3428510888,204.1118099108,3768.0091754395,55.1975006944,154.5576089875,134.0940223277,0.0,36.5929947047,98.0448106686,0.0,25.7454599055,88.9664928265,67.6116039729,0.0,0.0,473.2356058167,99.4362285777,267.2716177576
PWY-6151: S-adenosyl-L-methionine cycle I,5129.7345675935,3420.0423147463,5169.1300934435,4766.2093269723,5634.2530813335,4919.612854872,5373.6597692108,4623.4049150196,3568.7151407334,3971.9747520314,3893.2393528246,2665.2159363297,8781.3505135293,6440.9569465994,8920.1578501755,3425.0781980677,3848.2998108569,5651.496356053,5179.6027753002,2049.1109645227
SALVADEHYPOX-PWY: adenosine nucleotides degradation II,259.5859028989,46.7112697733,0.0,337.9334526821,5014.072321852,640.1578708033,76.3838059378,278.6430039434,7.3954746134,422.1723741138,471.5904490103,277.4313006237,777.1642537314,282.4100447262,42.3420629519,9.1284327157,222.1136635528,507.5787245776,228.4606503673,187.2099368189
PWY-4984: urea cycle,171.2165441625,989.4713736209,360.7658352017,211.9615363324,104.3585708789,141.5834906761,153.6607691729,639.3903524631,26.2967735103,90.9764349799,151.9981371667,77.5167220579,416.4786121004,17.1816950936,208.6491810453,636.8213231031,1108.911082473,59.4394538446,180.0292076736,67.9889509871
PWY66-400: glycolysis VI (metazoan),688.6701608173,1993.5893735171,3520.4796126564,408.8925832181,5016.73626493,386.3051314382,997.9041939542,738.9328203673,2095.3242759902,297.3794165288,611.1690630373,72.2031058877,274.3624390403,1285.4544634365,519.4133193358,392.5656472755,1639.2063319532,921.1363891204,623.6669236718,130.2923182481
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate",462.2559682336,89.5400956709,1817.6249176279,294.5938384081,4175.9376409491,638.2974054243,128.2285471772,277.0590525695,2254.5988394346,459.7564281229,1037.6953419967,281.703770387,1228.6127799236,823.6180093406,386.1404494049,54.8086028165,254.9962179581,481.4564708964,71.1598114956,154.9082822932
NONMEVIPP-PWY: methylerythritol phosphate pathway I,4275.2363294604,3960.3887147565,4940.3454119348,3913.7908166731,3712.2088031444,3834.2310058178,4621.6859117153,3727.7183005765,3294.7382224153,3036.7175120732,3657.0461396496,1951.6564065194,7610.4286719087,4394.0549049165,6779.085451924,2922.0657291408,3987.1717991458,4146.6777877625,4749.3336284842,1558.0599409572
PWY-5088: L-glutamate degradation VIII (to propanoate),0.0,0.0,0.0,3.1154256042,0.0,0.0,0.0,26.3443875098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-5675: nitrate reduction V (assimilatory),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7691525859,0.0,0.0,0.0,0.0,0.0,0.0
PWY-6185: 4-methylcatechol degradation (ortho cleavage),0.0,0.0,0.0,15.7374273046,0.0,0.0,3.8652375963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-5103: L-isoleucine biosynthesis III,5471.6832531387,2299.2082172835,5439.7640080866,3923.4601534214,4157.6162629186,3762.4602477124,3624.1409165621,3663.3888430305,4488.164532296,3730.9127202099,3692.4071319368,2167.167838385,5821.130787676,5477.2513278065,6445.4846149934,598.8669863204,2059.9588673851,3101.0756085265,3300.9051928689,1747.6741537852
DAPLYSINESYN-PWY: L-lysine biosynthesis I,1152.7843210153,179.5809301669,1827.0635972131,1608.4988734414,3360.943395614,941.8244503905,1583.167947859,1234.0065196442,2494.0640346392,682.0579435103,985.1492965326,848.6851990424,3660.8178011365,2097.2295772181,3391.8964609011,299.6462275315,1435.0928963064,1045.2222644241,2453.6701128479,999.0186875328
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA,101.4260848459,87.7014909035,124.2517780336,107.2554066487,3830.2501399643,20.7107972914,75.781315883,122.1057704123,3.4141254635,2.759926107,54.2277183059,0.0,13.1821312795,37.614422867,18.0576004124,54.2370596276,203.1655305024,365.3025094278,77.8766624209,50.5148197685
PWY-5692: allantoin degradation to glyoxylate II,12.7902314201,0.0,0.0,12.7871946904,116.7469981732,2.5725357369,0.0,10.2676521472,0.0,0.0,15.4893004933,0.0,0.0,0.0,0.0,0.0,34.4778622823,61.7019224633,8.3928986823,1.5211304083
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",0.0,5.3282777372,0.0,20.0058560806,2263.4679170442,0.0,30.1164756349,38.5967521536,0.0,0.0,0.0,0.0,4.9593372516,0.0,0.0,0.0,63.5775132225,155.6066431466,6.5452379657,17.5364007946
PWY-6606: guanosine nucleotides degradation II,175.5991741761,58.7428753544,14.9592793974,247.568053107,532.6873138057,470.6814196666,45.8165272749,144.6463030222,5.9521714703,266.9364236453,251.5058387145,131.1569036759,545.3708883896,173.0731504609,23.8941354465,5.7110906698,56.9915947346,170.133368872,277.2172038606,44.7037632938
TRPSYN-PWY: L-tryptophan biosynthesis,1111.2249402969,1025.7632804876,1535.4889178304,1547.2822000123,3443.7533561165,1031.4377142999,1330.7491670682,1269.7859914685,1446.840836746,1011.3448528536,1664.4002524154,284.4110113249,1668.6301012261,1348.5200061533,497.0200755509,729.5565192691,1167.6057212145,1059.4847781016,562.9406401296,572.4057915293
PANTO-PWY: phosphopantothenate biosynthesis I,3168.8260663005,2794.6026535839,2647.7122966089,1583.5084463567,4013.1270116825,2642.2861802476,3029.5638278906,2841.0629224691,2885.8250273859,2114.2330437765,3120.8800936433,1432.7897199196,2689.4498620325,1996.514724711,3111.5552732204,2457.7581083366,3557.0027933822,3340.0358523874,2257.3558998833,624.2608792692
"P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",1103.5943809221,81.2259125889,1681.9297465564,1635.7672816162,2797.0371104066,1097.4557360255,1071.4063839467,1226.6314348716,2197.7107199462,805.6321794911,1110.2583076751,777.7300469974,3447.0047426049,2208.4092685423,2235.8354527268,189.4736217695,1034.5914890688,733.6656756929,1347.8279124965,772.3443599531
P261-PWY: coenzyme M biosynthesis I,0.0,0.0,0.0,12.271322724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5697217071
P162-PWY: L-glutamate degradation V (via hydroxyglutarate),0.0,0.0,293.9778199011,43.1049889263,0.0,0.0,0.0,4.6055995585,0.0,0.0,0.0,0.0,5.4896644246,0.0,115.4928992367,47.8575116048,0.0,0.0,9.9023737923,0.0
PWY-7003: glycerol degradation to butanol,298.8200541681,0.0,0.0,102.4553558792,80.5096271509,195.0069775452,0.0,0.0,299.6680915471,99.4287972585,476.6849584081,70.4713732929,281.0005147438,426.4971344091,324.4449409216,0.0,109.3636711138,159.8895294196,19.8064094856,103.6645135525
PWY-7316: dTDP-N-acetylviosamine biosynthesis,4.0637086379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PWY-7409: phospholipid remodeling (phosphatidylethanolamine, yeast)",11.3765795893,46.1183770926,0.0,16.922848236,3116.18210014,2.8891040048,23.6978183678,34.5739823077,0.0,0.0,3.1851954489,0.0,0.0,0.0,7.6172275087,2.6663613109,100.9966071465,185.3877096882,15.225150489,3.0383215408
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation,3152.2373633676,178.6487491568,1272.7590481535,1251.5437654438,4928.4458063075,1858.288875298,1671.3870366886,1714.2862379364,1434.9912865641,1503.7337400313,1790.1560409855,1064.9420386773,1539.1137934651,1576.0088929864,2713.6131400351,6.258268039,650.1684135077,1755.9568230034,497.7823513685,233.4744565147
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol",254.1449335679,30.6139542521,1638.5243919355,41.703338844,170.7724835859,120.199575247,23.3964053494,96.9560154642,619.5876724872,73.5970542689,10.4725349129,13.8577798344,0.0,72.578837661,41.9014861627,10.0950929868,43.363393393,106.1483951959,33.0472596766,6.3758353087
PWY-5941: glycogen degradation II (eukaryotic),0.0,67.7380800298,0.0,0.0,8.0997891539,0.0,7.4147271707,0.0,0.0,0.0,0.0,0.0,0.0,10.2779332316,2.0792304034,0.0,0.0,0.0,0.0,0.0
ANAEROFRUCAT-PWY: homolactic fermentation,1329.5118048674,2004.3326478085,927.4249558598,1462.6141695063,3509.2414660114,440.2191773098,1624.5516730871,1335.295385513,666.2090281918,226.4715554875,1188.9960577677,175.0689303777,610.5828477761,1971.7488024368,1150.4982391738,532.6860648037,2084.5429224057,1163.7548685276,1177.5917001099,835.7642498257
PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii),127.6396872417,0.0,0.0,141.8904422785,199.9167457868,20.5784638504,0.0,0.0,10.1324166103,23.4922139577,145.0686628428,0.0,76.2462635821,68.7584267062,8.4362663771,0.0,67.9956294189,119.5169408354,43.868340697,28.2755579638
PWY-5873: ubiquinol-7 biosynthesis (eukaryotic),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5333639656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLUCONEO-PWY: gluconeogenesis I,325.1677029188,0.0,303.9436730767,363.9932130881,1579.1789324789,59.1098209411,103.3855546801,565.3293726304,0.0,101.5066587,490.8511437523,79.7538941831,0.0,624.5871559908,104.1073115874,159.13779188,698.5749908188,87.5033965339,598.6984252048,74.8087072107
PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis,213.4419949533,762.2630999187,173.1715064627,295.8403705286,2134.6695587537,55.0985894332,444.3885813376,273.1819152362,1.1333007372,39.1077552931,60.5988686458,4.981207522,38.5356768709,46.001723403,40.1493449205,48.9930749653,606.3092654919,314.783657604,79.7659695438,50.893183067
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I,697.0425233469,1907.1855385545,1850.7318055482,1611.1984155235,4095.6749660408,536.0690410467,1787.7196551819,1040.7934899045,2822.529813572,1261.6662684982,734.6436094264,853.040777424,3992.9867919805,3297.5528717973,2758.3938658797,366.7678532227,1666.3878101176,985.7351865492,2974.7396435378,1291.4698251491
"PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)",205.8886090663,48.5891707436,191.6075742539,124.8067996287,3913.9178407079,27.4430203643,79.1193630668,72.1986513901,125.1176990278,18.6760796415,50.0750293294,0.0,12.8567218528,44.8958022608,35.253314815,90.9148834665,153.530868396,358.4038862579,51.0004073354,244.2298534514
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I,519.0560150994,1741.5052917796,2684.8948296367,226.4960107131,4739.0543102974,290.6596519687,753.2439827312,451.4168346686,530.2855784301,175.2700413733,549.8040807841,158.7416967817,207.4245511625,179.7010143637,119.8820852896,316.6100719985,1027.7789065608,735.775589205,277.7548662937,339.9970972285
CALVIN-PWY: Calvin-Benson-Bassham cycle,4815.8419069589,1729.1772314478,3789.3252071969,3718.2539392766,5876.1838697185,3808.7535572853,2868.4021861524,3119.729671143,4686.4717871774,2853.0979179004,4125.0147030943,1709.5147748545,4916.1257230529,4133.1764562869,6049.4586406387,578.5399692378,1955.1389753945,2060.3636263599,1628.407804381,1004.190535467
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation,0.0,0.0,0.0,23.4809859545,0.0,0.0,4.0336257416,36.2975358621,1.2314344981,0.0,1.6368893741,0.0,0.0,0.0,1.6980924279,1.4362297175,31.1809795683,174.880265816,5.212267312,16.1896621279
PWY-3001: superpathway of L-isoleucine biosynthesis I,3653.5087471147,2325.565922067,3939.9402470522,3109.1266261734,4309.9566775485,2936.9208771722,3408.8606317497,2923.3420677967,4312.1268906378,2805.6866739266,2580.3978310879,1802.7531522487,6176.3467188416,4743.8026315203,5661.4963796585,768.1434397561,2297.1617881389,2586.9009531398,3188.1392078977,1510.8632004015
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I,289.4934907056,113.6045077666,294.084569262,170.2091050628,3672.0156722234,51.7270586616,145.60399124,135.301334248,104.8184936983,34.7852367803,92.2458207006,0.0,24.9139364634,60.8145395138,61.8809706491,56.4581300206,310.825410623,428.6761217476,77.1816416837,214.6752887845
THISYN-PWY: superpathway of thiamin diphosphate biosynthesis I,549.1064718169,433.8831714977,505.3519287363,414.3147720655,3751.927682461,35.9303685301,425.5976214953,561.8108173076,29.1165445806,0.0,172.9570279225,0.0,0.0,146.828459771,59.7091016816,118.7977973484,1034.6702166669,1643.5455025925,221.0903364335,280.6281604364
PWY-5484: glycolysis II (from fructose 6-phosphate),600.1091692776,1939.2804107177,431.5992107818,761.5463170803,4583.011938258,171.1842895958,951.8905645673,676.5833137244,255.481409334,84.0654773975,533.9131611531,64.9010352929,237.5967305101,1105.9000935291,460.6431102319,719.4169240789,1921.5508046497,749.9774248864,599.1005206517,587.9703463097
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis,990.6777089042,2356.8556085939,111.4175125594,241.3770353193,542.8537112074,356.5609266055,1659.799451451,990.7235363479,199.9859916026,234.3589444361,1038.3498217754,396.3288286009,62.6523641583,135.5422558101,317.3595546281,1044.4918845894,1042.4413059607,41.179467758,748.5674544079,50.8893707064
PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I,208.7291288904,135.3097877426,240.7565839631,143.2495778382,2392.9204328844,0.0,130.039985256,153.3925953813,0.0,0.0,50.3986566692,0.0,14.2280788058,61.3905735308,0.0,0.0,271.7270414404,445.0214156472,49.8852296776,24.4713524156
PWY-7219: adenosine ribonucleotides de novo biosynthesis,8955.0448272371,4938.0817042233,9357.1871990491,7085.6434647464,7000.1028187219,6900.201753214,7102.9362524518,6111.2925422964,6309.2741006393,5870.6672274903,6127.8801902985,3305.9021333255,11929.7472653952,8241.7032420996,9385.6065252347,3834.9601997349,5946.1703080132,7340.9162380504,7741.9972541072,2830.3697872529
PWY-7196: superpathway of pyrimidine ribonucleosides salvage,893.472481328,354.5970653131,1842.7081451514,682.1826008524,426.8867206232,950.2090115293,12.5484896297,497.6669088882,1364.1511441497,539.3002532893,1205.5490367231,514.470836187,764.62678712,1283.6034758648,999.8444213862,0.0,440.6273335791,664.2460552323,611.6800293455,436.2761862439
PWY-6531: mannitol cycle,118.4692004787,0.0,23.184228817,12.9530171978,88.6622909202,1.7025613867,65.0875755931,163.7696074581,0.0,16.5168728906,28.0846843359,3.3909473631,15.8715393969,4.97028506,37.3098766203,0.0,396.4118042653,3.2393349118,17.8695390728,24.7324175457
PWY-7208: superpathway of pyrimidine nucleobases salvage,921.0353330389,933.190810834,3513.2063280165,711.5186685415,1073.8281137678,1507.2605541773,1424.6719151623,1683.2139112986,4068.4057871033,1448.9964212215,2289.3965038067,513.0089334583,2821.9610747481,2046.6549348494,1386.9394226535,1629.9186865932,2368.6838269204,848.5954205891,732.2895820555,780.743304592
"P125-PWY: superpathway of (R,R)-butanediol biosynthesis",0.0,20.1026530615,0.0,0.0,0.0,0.0,22.0113065859,7.068216176,0.0,2.2061470416,0.0,0.0,0.0,4.630801933,0.0,0.0,0.0,4.7890320186,0.0,0.0
PWY-6708: ubiquinol-8 biosynthesis (prokaryotic),88.4323320824,30.8173426992,102.7402633072,87.094509546,2544.4157663554,3.501129882,34.3790666522,80.6887436305,0.0,6.7418463209,19.2542554895,0.0,2.6880766414,16.409062546,7.868037852,29.4900168823,70.6258781062,176.8718857744,17.2842886681,25.2224278001
PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,920.9605533892,839.3020005743,1968.2871122565,815.0224664257,592.5359593978,494.8778619858,95.3389799467,628.6234422388,380.4981776571,446.3687391176,819.2243455429,564.3589359988,828.3471641276,1575.2889099312,1390.737518639,0.0,975.4781577188,768.6102469183,818.0766004392,677.7161089872
HISTSYN-PWY: L-histidine biosynthesis,1914.4387096846,2761.1397279058,3278.9184829492,2897.4627499891,3879.9420406526,1989.3689126522,3307.4799160802,2358.2212056105,3056.7824464509,1843.1432051048,2060.7482844909,1217.9117709504,6176.4350554027,4453.1089367727,5356.1059334541,568.272550014,1987.5981317059,1392.1154792564,4421.2416858857,1856.0296168735
FASYN-ELONG-PWY: fatty acid elongation -- saturated,317.5091697223,82.237315169,305.9952877108,179.4257800552,3983.7863428933,46.5667265125,132.2270472236,120.0542622781,176.639586033,31.0197055361,83.3871882435,0.0,21.7160173437,75.4484329725,58.7062611194,151.353735316,252.1533703014,574.0530001443,85.3758055625,287.9488987389
PWY-6113: superpathway of mycolate biosynthesis,373.9959612505,0.0,241.4614514061,215.9061284346,2749.6168743572,57.7374355808,155.2360368912,110.760189304,0.0,38.4468303195,101.2080042748,0.0,27.0664847601,92.0526733997,63.0796061986,0.0,0.0,197.8284186502,98.4433886114,165.1518738562
PWY-2941: L-lysine biosynthesis II,649.8962630869,564.1009297423,2481.2708662176,1794.1741669395,1371.3647448759,1283.4548937291,1638.4260037365,886.2941116555,97.7707588367,1445.3823060795,870.6200752484,532.2911650139,2639.3614506912,3499.877699279,2739.0532205425,1148.3199011591,204.1571973669,1944.2621839562,2016.4163652196,957.435226755
COA-PWY: coenzyme A biosynthesis I,992.4111978519,1586.5183372007,825.1115048917,790.2335689711,3512.8222876566,2361.1128443975,634.8575554614,971.1349528782,3241.5023867896,1463.1064832901,1779.4160930614,835.8909708134,2640.892756204,1838.209350674,2915.4640681945,40.4284833955,1280.9185484474,982.1529453226,271.9309288932,715.5765807345
ARO-PWY: chorismate biosynthesis I,5623.2593528903,3404.2463885014,4969.8780400234,4625.706422419,5344.8481129772,4352.6805741992,3992.7880354414,4227.5430242736,4136.7201847261,3803.4986520907,4323.1583897504,2213.4586976076,6091.3628461441,5458.1258334202,6770.6159111452,2015.5108069021,2949.5183914823,3952.830996934,4115.6147326383,1467.4396389526
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation,29.8677485344,34.8325063924,69.4839082188,29.1719726702,1534.8988877962,7.1825846955,18.9111533355,32.3013782369,2.3626882221,0.0,1.3941039657,0.0,2.0437363259,1.7653091257,3.8016549095,6.7226763706,53.759844562,140.9872376317,7.8236681926,18.7094296258
P23-PWY: reductive TCA cycle I,0.0,0.0,0.0,231.8907997167,211.1945836242,0.0,0.0,0.0,0.0,25.4425166631,0.0,0.0,6.2601452918,140.3018254919,59.1652741781,0.0,0.0,106.0326770613,67.5557177983,100.3432820199
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),5385.3570013476,4462.10669073,5779.59706765,4349.4011606074,4893.5294941225,4436.7593509379,5097.4066475568,4575.1732102983,5003.5681362056,3735.8070417503,3965.4561660796,2532.1553517413,8845.28810335,6403.3312218178,9244.2698852665,3513.557431556,4516.8479592854,4169.7869778146,5365.9668827624,1725.2697605139
PWY-1861: formaldehyde assimilation II (RuMP Cycle),0.0,0.0,26.0833864852,680.8283927733,0.0,44.4722253718,0.0,0.0,0.0,111.6537583728,18.6536391927,0.0,53.0179784053,54.7467225147,0.0,0.0,0.0,36.5823891568,264.1243422643,90.0579268985
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria),513.6407043352,337.9412762048,503.4952676886,434.3563367594,3534.9781036065,212.6606781943,449.9109455224,519.7383352883,327.0004550101,105.1579565636,600.3963922079,80.3677415897,296.7154048678,1038.4127001679,473.132667977,106.3667812562,719.2310429645,596.4662729805,111.709172375,242.5243255056
"PWY-6396: superpathway of 2,3-butanediol biosynthesis",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9279724061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY66-409: superpathway of purine nucleotide salvage,764.0768328124,1669.4572079128,545.5148168966,305.2010692863,2223.9989825721,1103.2852934242,1455.4614897351,563.9705176609,925.4966541105,549.1935901885,692.2158980434,149.7277068635,1113.5538541966,2499.1430723419,2319.8380865387,1555.9291334114,893.4774578725,1008.5454942797,711.6938857976,288.3212544124
PWY-6901: superpathway of glucose and xylose degradation,407.9114173342,369.1610625915,594.2548839164,536.447652754,3328.0746199884,222.3355997947,348.9934496739,704.4083646466,327.327373957,127.8997162158,397.8457319726,103.617717079,233.9926509285,858.3077734439,244.4946583795,278.6432361815,807.3801904862,627.6751348624,783.5062620846,181.0312070665
PWY-7560: methylerythritol phosphate pathway II,592.6001864007,671.2437280743,1767.5224007388,1211.9349243168,3273.0256003022,288.5677681144,433.3798462559,494.8873897312,63.3702389668,79.9279348543,378.6362027366,56.1705425618,894.8574621539,3078.7113895645,567.6085782594,293.0131391578,452.5296092191,1497.130350357,558.1611744193,890.2315854513
PWY66-422: D-galactose degradation V (Leloir pathway),3373.3877794802,1564.8163098462,2760.0186557668,2769.7159065396,3702.2511130837,3035.5665906063,1119.3868056144,1896.8013291358,3205.1834356873,2891.9247977338,2414.041208368,1355.6809718128,3233.8847058869,2739.6659129908,4861.5157061621,1308.2988690857,695.9694152589,1400.6720429288,1186.4703555327,522.363272041
PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),389.7791004372,1110.6841166719,471.6283578342,232.0924157685,2960.8222258406,497.7440045298,1127.5633908726,525.6634695394,18.0861049929,328.7043270776,291.6492100135,206.3174776424,1170.9582136523,524.3696596862,1016.2348757547,2.8374438246,83.2101181873,410.4714215001,444.4078241059,204.4375722923
THRESYN-PWY: superpathway of L-threonine biosynthesis,2851.3289452164,2134.194039936,3223.8102556616,2564.0215148415,4171.6072566882,2436.6722894587,3003.1642170571,2419.7998405465,3962.5972531428,2308.6569359207,2036.7603420571,1528.0917744354,5993.749973532,4201.5089615624,5036.5733544911,881.3620179343,2181.9953902168,2165.1094331614,2955.0890270549,1324.7473501505
PWY-7389: superpathway of anaerobic energy metabolism (invertebrates),0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2553305124,0.0,0.0,0.0,0.0,0.0,14.1264382421,0.0,0.0,0.0,5.3401430076,0.0,0.0
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,22.988405279,39.0129942914,0.0,29.1072860137,900.3401952081,24.414140655,20.4956958737,25.1748663703,3.3910333659,19.4795204468,45.8960231063,0.0,3.3886768486,19.6299557156,6.5981355452,3.1439114421,109.5652451545,184.2519411209,22.0539814035,25.5295923786
CENTFERM-PWY: pyruvate fermentation to butanoate,0.0,0.0,0.0,9.2291891781,4.413724213,35.7249451158,0.0,0.0,0.0,8.6300632297,25.6328320732,0.0,0.0,10.9101770708,4.3902345082,0.0,0.0,0.0,25.6583665761,0.0
PWY-6737: starch degradation V,6365.7684679405,3933.1427645834,4754.4453291494,4523.3723105862,4148.8765264212,4834.1228751157,4356.6753660021,4562.3863062584,4666.6511451885,4832.8219027359,4521.5912522279,2375.0316653383,5258.7499474467,4922.6392617999,6922.2086068766,2758.6241544844,2198.0841683118,3956.0039608818,3879.1241433247,1113.5630702186
RUMP-PWY: formaldehyde oxidation I,0.0,0.0,5.4072964596,253.9722485242,0.0,20.2687910015,0.0,0.0,0.0,34.7425757568,0.0,0.0,15.0281750143,10.0677910521,0.0,0.0,0.0,16.7647103136,105.2779823036,13.101361395
