Index,MBE035,MBE036,MBE037,MBE038,MBM135,MBM137,MHS232,MHS236,MHS238,MHS239,MHS243,MHS246,MHS253,MHS266,MHS267,MHS276,MHS279,MHS283,MHS287,MHS289
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation,0.0,7.0985829683,0.0,29.5542700026,3205.5194170753,0.0,42.5884073817,58.9343746593,2.8388440807,0.0,0.0,0.0,6.6617083912,0.0,0.0,2.4323445045,81.7316032966,209.3778044697,10.6032577878,30.7126907174
PWY-5656: mannosylglycerate biosynthesis I,4.1245812749,27.2181933262,0.0,15.5055431772,388.4470905585,2.0164561292,4.4756523882,14.6741680074,9.285492712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.2449993628,22.4420044821,0.0,1.115413379
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose),3549.7068838104,95.6672653144,685.0496176423,1652.5215133239,3452.6028951754,1637.041651652,129.6209089319,527.7828687356,2523.7221514984,2574.5861946288,2113.1119165098,871.6510526681,3136.7322815556,1721.1409704207,950.0473685754,170.1152537532,504.3787458487,932.0029766206,410.2384829985,367.6524060458
PWY-5989: stearate biosynthesis II (bacteria and plants),933.8286288045,105.138095693,296.6452729381,721.3250847432,5095.7698171717,1007.5402081149,398.2209669542,163.5748196096,207.4969457438,608.3752400125,497.1611685901,387.0940513798,1038.0260663538,518.5505762479,60.5456260907,128.0459409381,291.5502345821,477.4606740977,203.088346771,314.6967713962
PWY-6897: thiamin salvage II,2288.731350235,2350.9026357124,1621.8950887896,1589.3019890984,5677.7832889397,2880.8473970526,2650.8325531618,3391.7806797795,883.0448400899,1200.9378140832,2338.0818675898,1457.3191537793,702.3251300568,1310.2129159794,1688.1217140888,846.9123328368,2485.6096448447,3300.2009955049,1618.1299650078,610.8089483914
PWY-3001: superpathway of L-isoleucine biosynthesis I,4963.8302931045,3253.3702972495,5250.4036695382,4269.2163333931,6090.3816129927,3897.0816107674,4660.0919393195,4181.9605467227,6163.3254383843,4005.0433548115,3423.4917255238,2500.8853778705,8182.1288753694,6731.3611729669,7568.4226856998,975.6306730244,3088.1587266426,3506.7059224153,4458.5374960089,2079.2352252258
PWY-5897: superpathway of menaquinol-11 biosynthesis,435.3324650362,632.0091364396,587.1521726914,286.2134491314,3872.316151159,33.6202146798,327.2928572797,541.1336554212,20.1085834415,0.0,116.8148830886,0.0,52.002809125,354.0003248456,280.3638220408,95.5814871497,1273.4096817022,1066.0969384886,180.4613783689,152.3255928213
PWY-7316: dTDP-N-acetylviosamine biosynthesis,4.064058735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-7389: superpathway of anaerobic energy metabolism (invertebrates),0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2606853281,0.0,0.0,0.0,0.0,0.0,13.4161934121,0.0,0.0,0.0,5.3622148439,0.0,0.0
PWY-5898: superpathway of menaquinol-12 biosynthesis,435.3324650362,632.0091364396,587.1521726914,286.2134491314,3872.316151159,33.6202146798,327.2928572797,541.1336554212,20.1085834415,0.0,116.8148830886,0.0,52.002809125,354.0003248456,280.3638220408,95.5814871497,1273.4096817022,1066.0969384886,180.4613783689,152.3255928213
P23-PWY: reductive TCA cycle I,0.0,0.0,63.9300322871,291.580767217,286.5417084561,35.2447891248,0.0,19.8870070916,17.6361796673,32.5622695162,0.0,0.0,8.3313172852,49.1728907121,84.4420184081,0.0,0.0,145.672463052,87.7972334247,135.3087961199
TRNA-CHARGING-PWY: tRNA charging,392.3102147454,1304.1454209,1182.6930981752,1277.6213211434,850.8180033531,618.4512469977,472.2197737821,1715.6067005059,441.9932652164,869.4164744483,1084.0167684654,867.7306338167,1672.697779891,1654.499015335,1300.8597515441,394.1020667004,995.4612424274,503.5379664871,765.8278795063,1104.6791320671
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation,4095.5642042537,234.6047710001,1661.0227422581,1678.6888677196,6066.4049111367,2490.5398423114,2146.5267680278,2482.9915935246,2033.3027532985,2225.1123472988,2250.542524498,1474.9084982989,1647.0711060181,2051.9132445715,3349.6689983772,15.2517530858,772.370278024,2319.1054937506,612.5528412718,277.1150271127
PWY-5675: nitrate reduction V (assimilatory),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9508586837,0.0,0.0,0.0,0.0,0.0,0.0
PWY1G-0: mycothiol biosynthesis,2.9084910631,0.0,0.0,0.0,0.0,0.0,0.0,1.5794231416,0.0,0.0,0.0,0.0,0.0,5.0597305855,0.0,3.6148725104,0.0,2.3771028056,1.4074844042,0.0
SO4ASSIM-PWY: sulfate reduction I (assimilatory),446.1715425384,129.616346834,467.1565849451,421.4584312063,4375.9229069502,54.942465037,296.2173923325,290.3323768032,6.8055406836,28.5919677582,367.8953068421,13.3629848883,14.2201591188,102.2527661353,65.2419982757,148.3353100598,341.0147100175,343.8908289313,129.2273784629,242.7794378214
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli),282.2672314575,88.4864878737,296.3100574556,186.5900142885,5382.762856788,53.9832801973,117.8179126456,140.711574064,188.987475394,28.1936373856,69.3126329627,18.0289211334,14.9282308285,63.3925289698,49.0043607857,121.9533828561,259.1521849908,500.3427228959,64.391291172,335.6891955161
ORNDEG-PWY: superpathway of ornithine degradation,89.8774393104,12.3138230992,117.0516418627,43.0183199042,2411.492035833,0.0,33.3974431718,41.5766754902,25.0828460933,0.0,0.0,0.0,6.5416361934,28.4202552918,0.0,5.734179974,55.4629596182,180.5353481373,17.8306542693,17.2246708617
PWY-6270: isoprene biosynthesis I,835.3928280943,962.3394467965,2540.582886114,1782.0993236656,4703.7120229701,489.853549731,592.1557045851,748.5268584695,99.2750889007,146.3692079184,580.2579538243,82.2092400489,1378.0920679696,4253.8622857117,795.059540197,501.7080626331,715.1747599053,2195.2362968907,993.6763456377,1312.6128244274
CENTFERM-PWY: pyruvate fermentation to butanoate,0.0,0.0,0.0,9.3183614567,6.5933383717,40.5031757574,0.0,9.1743595322,0.0,17.0910478353,38.363032254,13.3656169548,0.0,21.6003910547,6.6024111733,0.0,0.0,4.6086548775,30.4865968934,0.0
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol",337.8124665011,37.4153199444,2171.8897356103,56.8178230285,240.5613711964,175.2439047951,27.9339962811,124.2596342282,868.500311037,102.2774526432,12.4453051076,14.068151454,0.0,99.672338041,53.3616096389,15.5143089436,55.5781314328,136.7115159507,50.8639624786,8.2782555386
"P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",1530.7066586201,124.1910670216,2262.7074557045,2269.4445869821,3902.7521645175,1473.0149960871,1480.8277233124,1786.9125847886,3089.6257510236,1142.3277016097,1497.9243789874,1071.9820849367,4548.5219036872,3064.5546628399,2987.8474527955,249.0411566314,1386.3420486497,1007.5292171003,1900.9973740111,1060.6768126353
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I,3343.1335069421,152.5755177582,3329.0027145803,2459.9965508954,5033.0835791264,2321.1153786389,1147.810667649,1921.5571969037,2656.3972166582,1973.5606145826,1902.0939677887,1375.4191270907,2290.1692069274,2018.57330684,3944.8928037479,8.9341500588,500.7511584065,1130.9646143783,904.1596220166,338.1415868224
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria),876.3553312534,1189.1379759763,719.1047723886,589.3327553987,6462.183035188,2245.25586981,1310.2107581005,801.2191925021,696.0993294527,379.0699106308,677.7143373888,334.3278385315,188.7187608025,215.3956807393,496.8177019781,285.1161562498,2178.8043987483,1582.5218284509,505.0157302539,338.4354136623
PWY-5505: L-glutamate and L-glutamine biosynthesis,64.9348384536,68.3511113242,107.5279334918,96.9279919386,1036.4986173363,33.8358450957,66.8268461701,122.7721682943,2.4253942941,7.4797615266,18.3669609727,0.0,9.5411971739,62.5480043907,7.2808267599,73.3846598424,153.9076214587,75.4320144757,30.5272223518,49.8462230302
CITRULBIO-PWY: L-citrulline biosynthesis,271.7756465869,1439.3522313096,499.7293479636,330.4744267281,38.3043329016,215.5562989366,240.2919336368,1016.0258255448,47.1909848353,150.138967878,218.3325953483,123.1879095618,544.3472605218,36.7149626932,307.4481349313,897.5753466701,1686.5449384142,85.3965999648,311.8986691684,99.1028918193
PWY0-1296: purine ribonucleosides degradation,6586.2434531316,3168.9147560205,4493.3738841191,3584.5374476828,6924.0226506954,4733.1513880775,3594.7696550385,3766.5970473954,4982.4952732146,4166.8188955011,4047.8822257679,2226.0066008927,4837.4712593815,5204.6619856447,6450.2760285553,3035.0037439991,1407.4765398198,2316.9658615292,2019.5626280592,540.6427694684
PWY-7294: xylose degradation IV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9480674217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I,275.1353729851,182.0194837951,372.155191941,193.8119075374,3294.0624460113,0.0,177.923792163,209.7928084685,0.0,0.0,65.1231527061,0.0,27.5645170689,85.066087418,28.0731579849,23.3334089745,415.4789097492,606.3902496343,90.4796427794,47.4726374236
"PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type",0.0,3.3270723456,1101.9761531219,784.9474264127,169.4660220721,94.6626425383,90.7957987668,191.7903633363,7.7630594246,459.5593099976,0.0,66.5393868093,665.4116424141,611.5530865076,1290.5458330587,7.7065285353,0.0,87.7436936576,1494.9948328918,173.8627555479
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast,39.591779927,71.3839465291,1.3840506805,0.9688051131,1.4673474619,0.0,8.1452868454,1.4930219387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0229647682,0.0,0.0
PWY-5918: superpathay of heme biosynthesis from glutamate,123.2866088271,54.3477171098,207.3205465345,88.3971520806,281.332099899,44.9189577542,96.5526947957,128.4371533176,30.5512606744,6.2373355287,90.6332698281,0.0,11.3921157137,35.4537739807,50.8279530436,63.7035873385,252.6228612166,372.9426488472,73.5665696292,84.2635184111
PWY-5973: cis-vaccenate biosynthesis,2555.0105490421,3673.0412384514,3233.970940604,925.7934562476,5068.6337958388,3180.2707976203,3193.3479612725,2926.7117805104,979.7997991361,831.8169369812,2090.9991923875,1010.4672737447,2162.2826113257,2805.1913906656,1638.3590180615,2807.4079160791,3472.8306967783,4668.6075894432,1855.2409785012,618.046255715
PWY-7446: sulfoglycolysis,32.040269967,54.0224958485,0.0,25.6958918859,3640.1972889715,0.5968053258,22.3768927255,34.9945720236,2.0741814621,0.0,0.0,0.0,1.9881239956,0.0,2.1261269102,2.304189002,57.3768278093,243.4679129487,2.004661933,25.1030282664
PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II,449.8208909093,486.9811584342,300.3297912636,487.1035115353,918.6864599239,743.5784729391,822.6743651619,1387.8667920649,138.3075980594,402.9988254475,785.592263395,563.9660914297,1071.8434270241,2539.6691961623,998.2685573475,317.4616215309,2751.9215712487,630.747200807,957.1689702267,330.920675187
PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast),2851.9973224655,2539.2226498493,960.0839085839,1298.9429402154,1927.1814516872,1417.7465080969,2796.6460935454,2279.2778669722,1512.965124705,883.2402898718,2540.5974324375,1260.6607338832,719.6426216373,897.5109785979,1427.7259705736,752.1399821406,2145.9259307655,476.4286598088,1373.2752848441,564.8029415545
LACTOSECAT-PWY: lactose and galactose degradation I,171.6789737949,129.3124949774,1073.9328020266,546.7313569225,487.2117820328,262.8801932915,848.4631455173,649.8442212069,23.3240457497,315.0712721791,251.681578631,503.6115854112,2564.1039449139,2203.394761885,170.7740255615,66.0632935616,367.1411976255,144.9613212237,157.7330225011,37.9014888285
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II,942.0846507636,1004.1696308375,1392.7434782625,697.217538452,1255.952311441,757.5589546072,1392.3010536344,1699.5279152325,1182.203771788,402.8559941816,957.9177892335,467.2460216474,499.4435107321,1834.9071643315,1306.1742317309,1831.3281062638,2553.5143777004,805.3867294151,699.657904087,732.4011914696
PWY0-321: phenylacetate degradation I (aerobic),0.0,0.0,0.0,13.7019157264,0.0,0.0,0.0,18.4320483849,0.0,0.0,0.0,0.0,2.2729988728,0.0,1.8847864197,0.0,0.0,125.6877143068,0.0,0.0
P164-PWY: purine nucleobases degradation I (anaerobic),317.5558834652,29.8858975631,0.0,375.3083084922,0.0,291.4307923511,0.0,239.102958436,264.3789632921,206.2630294083,290.3789341871,183.8587696681,225.9060436296,167.1274856393,46.0167065752,18.5884692269,117.4044763689,249.2707057432,248.3933503498,140.3010716169
PWY-6168: flavin biosynthesis III (fungi),1764.4102193925,2713.9454705812,1378.4803648924,1067.5583679923,4903.4223131972,1789.8221888062,2658.6114792127,3099.6620007025,2084.9587554093,1304.4080635009,1538.7722178271,915.0787392712,1215.3522987441,1022.9338381224,2260.1093085113,1329.5225226684,2081.1115370833,1425.5294691585,1322.2688370831,604.5416529918
PWY-5871: ubiquinol-9 biosynthesis (eukaryotic),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0043476303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-1861: formaldehyde assimilation II (RuMP Cycle),0.0,0.0,35.8163171635,904.1344306341,0.0,57.7195853989,0.0,0.0,0.0,158.1697951921,18.6684227239,0.0,61.3760016614,63.7028613514,0.0,0.0,0.0,50.6189163404,347.544648542,122.086218836
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation,296.3747454188,187.2526622546,135.1180596043,191.375196153,4111.6581399832,460.6747654031,53.7678343185,73.4455779012,1689.4736267879,421.9189441307,1118.2393695428,353.1470008436,1471.9301223655,492.4832482246,493.6891768388,32.4383902738,183.6190882247,539.2521893448,69.125225453,179.8637628548
PWY-5431: aromatic compounds degradation via &beta;-ketoadipate,0.0,0.0,0.0,25.0322909477,0.0,0.0,0.0,6.7088396133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6119673436,0.0,0.0
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II",5147.0521155723,3968.6350144997,5659.9830608183,4636.6620661325,4788.7486807035,4403.0857985816,5272.3660069633,4606.6619837198,5629.0712224941,3994.9042450833,4207.3342247918,2583.6968028855,6788.0034624383,5752.6226493187,7458.425694139,2269.5776917401,4034.468820501,4807.5668887623,4383.5542865756,1838.9158145358
P42-PWY: incomplete reductive TCA cycle,444.6317156294,213.8641691394,146.8314520935,743.3725975049,445.9050530428,414.8426565598,164.9557684459,180.3227136706,343.5563377255,361.3458928726,1295.7517589932,404.6838545482,101.9794470387,223.4928002329,215.3830907731,174.2889274504,370.5711870108,138.3590160054,406.5514203361,660.0804980964
PWY-7254: TCA cycle VII (acetate-producers),63.8479817157,80.7749800741,98.7388628898,62.0858967252,4795.2774681947,19.4054503936,52.7137776167,80.3857540482,6.2284483645,0.0,36.2230823308,0.0,13.5479023798,31.7854701503,10.9684061436,50.9416163419,217.6751983249,359.708226752,28.832790801,63.0336306888
HOMOSER-METSYN-PWY: L-methionine biosynthesis I,1258.2761886692,288.6687753715,2384.4469473308,2818.0983024052,3188.5893382192,1820.7671729467,758.1575428647,1450.6560110048,2098.7291422831,897.4482258368,1388.811129183,837.5249071316,3712.945504053,3223.6856867417,3092.6296885806,109.4196263327,896.8840941059,581.8738995376,936.9976146422,740.0444480696
PWY-6113: superpathway of mycolate biosynthesis,483.6674222092,0.0,301.8435142148,302.1095476143,3744.1202510249,105.2580458786,216.9885456219,208.4547490004,0.0,54.2179031133,131.1988808343,35.1943884904,29.4425329522,121.1256214671,83.572973261,0.0,0.0,317.8248454073,118.8142087214,234.2704786533
GLUTORN-PWY: L-ornithine biosynthesis,926.2654828446,3061.0382052527,1010.3232554487,746.468316229,6415.4247582195,783.4592888647,1019.4509288629,986.5725270424,73.2174085845,766.6139815183,599.5339034368,659.8782021765,1806.0252663207,2578.2265040368,2519.6284971364,542.2159642358,571.7985773847,3625.7713015335,1965.866145643,1070.6407806315
PWY-3841: folate transformations II,3977.7082875489,4820.0729118562,2972.680760296,2813.4717082552,5405.6687492016,2005.3829604763,4040.8663809957,3579.5064165282,1460.6556577403,1983.740714391,2665.6708737641,1985.8235253537,4219.1973711887,3607.2492560473,3886.9170194292,3315.8533255747,4290.3633940256,1650.7314512448,3352.551530837,1559.8803541772
PWY-6163: chorismate biosynthesis from 3-dehydroquinate,7232.7491008023,5160.7564366938,6173.6317898234,6380.2895362112,6870.4561263656,5635.7648286042,5143.9610939975,5907.3488204944,5625.7899871952,5266.6170143731,5375.604900309,3054.4202746487,8014.7268729066,6678.2259657632,8476.8274254283,2784.2777780796,4058.075095605,5018.9735900673,5388.4576625639,2010.0359730036
PWY-7315: dTDP-N-acetylthomosamine biosynthesis,41.1226983211,81.8724302567,0.0,51.628413955,5320.8875896798,0.0,33.8903301742,65.9649128126,7.4860710226,1.0049303804,77.8942760147,0.0,3.804750359,0.0,9.0379871772,3.7438866718,206.3747251254,478.412645573,34.5384906853,43.8876284632
PWY-6892: thiazole biosynthesis I (E. coli),222.36142135,157.5360412055,214.8328979576,155.6491103701,4451.824219161,7.2805399345,135.9191705651,195.8438365251,9.890409405,9.3321226257,49.3867389409,0.0,4.9489678689,52.5319174891,17.3155944858,30.4729070261,397.0495755247,803.110853095,80.9574188768,161.1766256032
THISYN-PWY: superpathway of thiamin diphosphate biosynthesis I,812.8434237783,654.2150710926,712.1995990916,566.5626751822,5195.6486556487,36.0580389142,576.9311046158,806.6277084804,47.4435313649,45.3372439906,229.0793918361,0.0,24.1028479842,227.9683836835,83.3464889914,141.2620977975,1377.4320815704,2268.4186999819,356.2569706858,420.0408237938
P562-PWY: myo-inositol degradation I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6701029949,0.0,0.0
PPGPPMET-PWY: ppGpp biosynthesis,290.1818085564,114.6188425177,195.3789517366,217.7744593963,2337.7810790773,471.4649887477,104.6716594572,135.3610130839,1426.7398216499,263.2965514912,836.6901859986,274.8745728171,810.3944244183,376.1322004609,397.3738044358,71.9880030861,169.6599648946,393.4666997683,53.626275104,229.4510328065
ECASYN-PWY: enterobacterial common antigen biosynthesis,30.2601253413,45.2383291425,0.0,33.5294563494,3178.6283693402,0.0,22.5403014227,45.7047447628,0.0,0.0,14.3972998527,0.0,0.0,0.0,2.9683842537,0.0,122.6550072132,206.6022352789,11.0031948958,20.8150121264
PWY0-1319: CDP-diacylglycerol biosynthesis II,6319.1690142965,4877.1959378045,4516.7128122462,4807.0583996659,7162.4154466033,5394.6171100928,5528.0640641783,5141.1155289034,4595.4331682228,4942.624075166,5233.9069554547,2708.7165999042,5500.7861930141,4433.871673743,6628.1725404357,3156.9234415262,3832.2121243792,3648.3837711071,3660.0646458021,911.7094740717
COLANSYN-PWY: colanic acid building blocks biosynthesis,438.0793411954,179.5992854079,317.7718761281,502.4700913742,3122.826356716,107.7180707911,224.9727870709,508.2556411965,204.6376705566,93.8766719708,155.6509902141,20.9659293323,77.9985397397,92.1987856743,83.6394564336,88.2244354719,721.0032795575,524.4492458472,154.0149258079,90.6430977783
"PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type",0.0,4.8958025462,218.4565343801,234.9441244305,139.914959049,41.7089094586,89.75472091,147.7327494335,11.2844869552,7.7724610505,0.0,0.0,54.7496041244,238.5902980569,156.9662254593,11.004816581,0.0,115.8946768558,135.6803568678,54.29597904
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II,108.3788645376,20.9264381155,0.0,74.9732219508,125.5543544959,11.6824908663,0.0,15.7990464998,0.0,103.3284161534,244.3631478252,0.0,20.2372456736,43.506267761,0.0,0.0,57.6873458247,344.30422518,0.0,43.7685756969
"PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II",205.4535295201,0.0,1196.1980301655,0.0,3.1444057431,107.3451379453,0.0,137.9432713939,544.8897892609,127.4193774096,134.95572426,37.3437869378,0.0,171.7136953321,0.0,0.0,0.0,90.3483822599,1.53027091,10.6618139313
PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast),4906.2493139952,2600.4050625096,5743.6463579545,4797.3651202012,6843.3518409618,4677.0486533326,3505.7531144975,4813.8523155232,5534.1739816848,3682.9926038621,3618.364745934,2289.0914368005,5332.6947962443,5007.8426234736,5916.2610073408,811.5599347839,2366.1705244789,3652.9237883469,1741.390661571,922.4927249156
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I,5806.6976734505,4972.6594541399,5550.0531028635,5598.2892526724,7080.8045742619,4936.6559699517,5329.8069684516,5232.6685491184,5201.5488090304,4966.837213748,5245.6790853708,3059.36595741,7629.3313094043,8622.7961755823,8266.9219903923,3360.7536281592,4249.7736514936,4331.2875782627,6317.7372802161,2397.8206275339
UBISYN-PWY: superpathway of ubiquinol-8 biosynthesis (prokaryotic),112.1220088787,42.1664065987,111.8477099748,109.669242016,3610.3393349608,5.5230807249,47.7150116254,90.664244697,0.0,6.9390081236,23.9979626947,0.0,0.0,13.926356733,9.8973636013,15.5054346641,89.5950653087,248.3950755191,23.5939667707,21.1613699415
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV,6.1922389007,714.2133033175,253.6132390034,693.1779200401,153.6752108242,212.5602940943,64.4471261887,299.1589034423,141.7834941548,36.4761806704,52.9862864174,32.6011683994,11.6032099391,44.871613385,12.6340963136,0.0,661.707494043,824.8667613696,37.5379926485,43.3773158343
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation,4164.3163776283,4900.5023418373,3179.7895551914,3210.8272153118,9837.0647106224,3316.6403034942,4357.5924499249,4468.8708985612,4223.4947305532,2120.5292484176,3123.2788267339,2266.775885138,2152.5279705093,2172.1223028361,5848.6917254374,3942.6782907437,5167.3513694431,2374.6455115381,2686.776912266,1076.1248348792
PWY-5173: superpathway of acetyl-CoA biosynthesis,129.044729116,110.7517611114,161.1592818261,83.1651825729,1221.9063230745,14.2979452177,63.1993274433,58.4262815694,13.7022695682,12.4428591819,10.1735743739,0.0,39.4152370029,84.7946381983,74.525139904,73.1653219472,48.1121009718,180.544197548,102.7673429089,15.0312495765
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine),11359.0166406904,7270.5612069163,8598.9518093631,7922.7615503844,6537.5409109711,6851.1862132095,7730.1273232384,7825.3240165936,8679.9735670012,7071.9374556817,7545.6691817818,4243.9276426469,8895.7464927557,8697.8752910506,9353.4707556954,4340.6577706235,6036.3802912652,6107.3426764408,5211.0983261918,2769.5283679073
PWY-6588: pyruvate fermentation to acetone,217.7462605188,0.0,12.2023800983,274.6612669785,112.0740184777,443.0818456794,0.0,5.9688698668,1123.9547409955,456.9469397868,850.5279232733,310.2348832624,979.9380261027,320.2952592981,276.6025083996,0.0,55.8408781002,83.248947351,58.6309090687,206.8106140331
PWY-6737: starch degradation V,8594.8978025703,5487.738310045,6330.951797686,6243.2019751052,5855.1028686974,6460.1701902358,5950.6660488032,6504.7090908168,6696.020055601,6950.3102734138,6036.0528706215,3321.4022830693,6972.7723078768,6469.3929463236,9242.9488550238,3599.0094590671,3071.8987583385,5420.2599598814,5371.9329979268,1570.7135660175
PWY-5189: tetrapyrrole biosynthesis II (from glycine),73.6755289021,141.5961822847,145.4004113562,350.14697183,5117.1435371909,56.7106866825,61.1144185165,148.9269605828,13.5183623942,49.7742909618,66.9739290118,3.7686778963,44.0919791814,65.8674987742,46.5017941979,56.0695188058,249.9583993256,408.20710423,354.3027609635,347.8560721669
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria),680.1065815232,454.6933702057,674.4873531578,562.6482839381,4895.7680318438,333.7257023031,623.2655043254,754.5780305651,470.5562195835,136.1622122364,810.3866790536,106.1654370961,410.6473175658,1367.7317343139,648.0590037039,226.5730407639,976.0365398308,788.5587907204,138.1736482857,339.3690771826
