Index,MBE035,MBE036,MBE037,MBE038,MBM135,MBM137,MBS1533,MBS1558,MBS1559,MBS1563,MBS1567,MBS1579,MBS1587,MBS1592,MBS1594,MBS1605,MHS232,MHS236,MHS238,MHS239,MHS243,MHS246,MHS253,MHS266,MHS267,MHS276,MHS279,MHS283,MHS287,MHS289
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I,148.3923291534,64.1528044814,140.3710461175,89.4250500959,1849.5817967673,19.7982743806,376.6646658533,464.4324429282,303.652322614,80.2406195438,26.1131326254,378.0037030959,40.4350593461,139.8569836454,309.1105606366,82.1576863064,78.8401969639,73.4587617779,60.4785917936,8.3738292236,58.1332801112,0.0,16.4397639943,13.8258498999,36.1783824685,40.7872122839,150.657899835,221.9316325154,22.124883691,104.4908050195
PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation,0.0,0.0,0.0,11.4059737965,5.5182909259,0.0,0.0,31.3934650419,0.0,11.3666941172,0.0,2.7336784675,0.0,3.7768178283,26.284511605,2.4472277567,0.0,0.0,0.0,0.0,23.1651399724,0.0,0.0,5.6364439731,0.0,0.0,0.0,0.0,0.0,0.0
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway),13.0940876664,0.0,16.0825623475,21.7992682827,67.2166506413,0.0,12.3370255076,100.6563755384,0.0,0.0,0.0,56.6040939604,8.1693349168,11.5224268631,37.4375544776,0.0,7.497132799,3.367647348,0.0,0.0,0.0,0.0,0.0,0.0,2.6202782402,1.6126688419,0.0,2.9507751625,0.0,0.0
P161-PWY: acetylene degradation,128.1381801333,83.1713065084,51.9588430919,92.7556224273,707.9327181026,2.5041298285,86.0647159425,141.1651001452,35.4902325535,52.5061271617,11.7841131917,195.6277835655,41.0045053045,188.1535987433,285.2568751117,88.4995334201,54.4779081522,72.3548988474,7.7400893606,10.5469750825,97.4554104098,0.0,39.1815025501,28.9416291588,37.9335281869,55.3272996074,65.1458609438,290.9899275226,21.077954638,8.0790768594
PWY-7560: methylerythritol phosphate pathway II,337.1954763477,350.9819517931,990.7465869708,603.6406674121,1609.2338997617,160.9366935182,772.9596705138,96.0835750343,362.6783676534,53.0186490728,53.1105767983,586.8328127029,93.9740224881,345.8569106318,271.2060680542,255.9969361185,190.9623552655,226.2202244515,23.7639919083,15.8130654907,197.9524255215,8.3281702382,482.5473061728,1570.7393114186,182.9805151867,133.14213771,214.9494254491,758.2226832816,353.9165577643,409.6344647163
METHGLYUT-PWY: superpathway of methylglyoxal degradation,1.7087613166,8.6490216626,0.0,5.033726398,598.5116945715,0.0,78.3735004437,23.3335599106,21.6058269203,2.5835000326,9.0336333378,0.0,0.0,3.0674836489,0.0,4.338634574,6.3544531488,5.0548242796,0.0,0.0,3.8461513893,0.0,0.0,0.0,5.4624889895,2.9967527992,23.8324198725,48.7766286345,1.5297027962,3.968310397
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli),472.9084101247,916.9765821307,851.1985164349,848.5853951431,1320.8403288219,400.3495103884,402.4539314422,429.5274418481,282.2215558101,44.6868336781,60.295971775,339.6377705584,122.4913751169,206.0777206279,375.0496637812,103.3823786688,877.8687301187,601.5558463266,1456.8081472314,739.5606446227,493.9945311258,470.8244956592,1521.298742956,1473.291362027,1537.6550180789,175.527140597,907.1583921997,549.3856331297,1014.6563314475,442.6363664863
PWY0-1479: tRNA processing,37.2715010344,0.0,5.9425677911,0.0,0.0,45.5409924076,0.0,1.1737648126,0.0,0.0,0.0,0.0,0.0,10.9949197042,4.6791618493,1.1739143906,0.0,0.0,0.0,0.0,4.7427429396,17.1181244242,0.0,0.0,0.0,32.90393899,0.0,92.6654063179,0.0,1.193255159
PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II,134.9250410611,138.3623550641,179.0085318285,146.0347298817,314.1030415427,295.7140956632,379.9899823406,587.6336953681,332.9716726233,320.7592516836,74.4784214218,241.1264629345,73.236327053,242.8358551272,420.8033175556,241.1101560467,331.2179131832,507.7475032729,52.205714425,144.2990085086,306.4365895666,176.8059395912,391.8137542111,951.7029310364,156.0016087145,91.2712601979,985.2006771251,222.6738943005,355.3564601732,112.0107561007
PWY-6612: superpathway of tetrahydrofolate biosynthesis,55.4893991169,14.3083474036,0.0,95.6940751506,1232.3473824277,206.7434722702,218.1657347693,33.2557243823,111.3173153192,39.5337981088,12.436290412,7.1979282247,15.6291533746,92.4918731501,42.0813455639,16.2921825937,30.1878837974,68.6730475957,2.8403544914,150.5906166647,141.4668090541,47.3199341779,408.3888545905,61.6776828958,45.3026145667,0.0,83.793317333,156.6914453443,77.9052428125,56.1753927646
"PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type",0.0,3.2124321273,61.8713037181,73.3851118213,39.6735895872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2413765534,48.5109494671,3.2765049195,5.1913376129,0.0,0.0,21.998449586,108.144506681,50.4027714605,4.5777074676,0.0,6.5338931513,43.0764988416,26.8095497615
"PWY-7013: L-1,2-propanediol degradation",199.4776874128,8.2152973622,138.6963734329,218.7554676042,777.535324892,0.0,419.9750297789,286.3182953375,7.1855463839,6.3505542222,15.1366002724,221.628374195,79.9863243381,158.0848588922,360.704749029,167.9100855723,149.1680061772,87.7028920894,3.8166501017,0.0,6.2377829617,0.0,5.3233072417,34.6748924728,12.5660543631,5.0861309701,83.8465809401,93.9523890019,28.9865753532,0.0
TCA: TCA cycle I (prokaryotic),357.7462065245,71.5281825517,110.1644649442,329.4708706065,2036.3506746421,342.1691084153,404.5629100303,357.7014374243,224.9725816198,147.6303578493,162.1925148807,287.8212960181,35.9401761751,464.4559576735,390.6853763157,85.4026868248,209.552077877,272.4888419104,506.8817534519,163.4613446733,293.6846569963,95.8343517344,45.2482127154,219.9171296155,32.2427305075,45.039909611,218.8306433041,279.7065392002,262.9995387599,169.2562566774
FASYN-ELONG-PWY: fatty acid elongation -- saturated,162.1128921702,45.8201477934,132.5335017709,96.2570610686,1991.3770373998,17.5840273326,438.1079605046,577.599052624,300.1996551119,74.3190576498,22.8035753785,366.0149325514,31.5308040363,157.2882213421,395.788647291,85.1984475439,70.597828447,68.8677652855,95.1534805386,7.3225130312,53.2885426175,0.0,14.415245049,14.4140664119,35.4655482102,82.9094418125,119.5488362505,285.9867325738,18.0797937286,131.979639057
PWY-2723: trehalose degradation V,13.4505029819,26.6702202707,0.0,18.1409230893,1164.9636773015,0.0,90.7205618261,22.6403681855,73.1890439444,7.5782435994,2.5386081071,0.0,2.5421390964,37.2972538811,2.5396562801,27.0086632032,6.6348282133,7.7731285161,0.0,0.0,13.2243412089,0.0,2.7116163089,0.0,2.58278198,0.0,44.0015963604,87.4581067991,10.1545660983,13.2502645616
PWY0-1061: superpathway of L-alanine biosynthesis,100.2039950132,124.571465612,147.8301246649,107.0841963792,2164.1333739807,21.6035986172,290.4103955878,207.5487651081,99.0798085526,34.281910464,42.1430041367,176.803595378,68.2920536743,138.5985453369,258.9193984459,63.9794492271,97.3803480893,72.9436637996,102.9648681058,5.2772047192,50.949730074,0.0,24.2409715255,149.9584276473,73.3104689298,39.9243004594,172.8006040824,373.4783728309,48.3905937279,60.7864935639
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation,69.7274935411,35.588503257,12.1557607936,103.3152910138,1521.4702979285,0.0,239.276592809,114.3708836689,160.852797407,30.270048396,23.8505936042,51.2223289368,17.9037433395,60.6825158195,174.408641114,23.3032585598,36.6903660079,65.4376205913,0.0,0.0,29.717197575,0.0,3.5353605028,23.392759714,29.1394928286,12.6994203814,143.8554445193,137.1486111602,38.8136738924,27.6041199375
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis,293.4584526613,22.8122588008,896.9118767399,257.82049721,1155.8418191873,226.3080853454,212.9428002433,82.4073966088,43.7302039316,59.8150517523,55.3030873351,210.6545429487,30.5422784271,165.5873271525,179.4784583289,28.8467338946,124.340270449,103.1120677033,151.1778192985,183.6402446061,260.8521422355,70.551088512,29.6447834497,208.8392557376,51.7044375892,8.4068006631,167.7555243913,258.8826234943,58.6966254281,93.7284348574
ENTBACSYN-PWY: enterobactin biosynthesis,50.014978778,215.7560761491,0.0,66.0941456589,2384.998078676,0.0,205.4346276969,108.8569004209,179.812196259,25.955767439,32.9050873393,0.0,23.8657459747,91.8011331167,0.0,70.0441763231,57.3980733009,78.5976419202,0.0,0.0,64.9945632304,0.0,20.6505659012,0.0,0.0,0.0,181.8408789285,274.9035181922,96.5580890394,64.1108243348
PWY-6317: galactose degradation I (Leloir pathway),1592.9782897723,812.9547326958,1391.7632278658,1376.3201242858,1866.1877973401,1487.7249610783,399.0154306986,207.513150044,176.480894026,308.5043862189,321.4058231598,349.6036962515,114.3080406426,445.2873185878,287.1916521135,187.8301082061,549.1357033996,933.0576544787,1619.7486584754,1422.8422912692,1201.3200306346,617.2754496252,1614.393365074,1356.4306689233,2445.5555068379,616.2096068414,346.3067774752,730.4495548833,580.4981900225,263.1336665725
"P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",540.3153702032,25.9125950858,846.936462588,805.9960296013,1404.8834588126,550.1964078045,396.5592432572,353.1126063136,155.2708459817,263.6117470148,77.7918166742,367.6880004502,72.8711932494,394.9086926635,392.8285502214,231.4294926511,529.4449668686,616.5559338244,1109.8648285145,384.0148489758,550.1161424802,371.2019826561,1712.0500059563,1104.2221109141,1081.460575046,93.547847704,486.1385886816,382.3150717784,668.9344787945,377.2094447843
PANTO-PWY: phosphopantothenate biosynthesis I,1533.0384108242,1416.4582544868,1383.1589496575,790.1002599098,2001.5818292574,1339.3612997594,1848.9188371169,1764.1155158658,2218.5154394571,1786.5865250096,1356.6503888417,1217.6234798288,1759.0487790829,1004.7067491259,743.8159076325,1043.2195845226,1559.2578040748,1410.5096014629,1410.1616286178,1067.8167667459,1378.7152011904,683.5579505971,1323.7671853529,984.696399613,1505.9661563473,1195.2463611538,1803.3339825785,1662.5152858248,1123.236190283,310.037387095
PWY-5177: glutaryl-CoA degradation,1154.812905647,0.0,541.1618461893,697.6672858867,457.6310206977,947.011575588,101.4400571718,51.0549583131,31.5227374343,125.6137644892,97.4023704513,91.0142353952,60.4705078903,28.2342306814,118.3754145439,24.4094485784,446.4055063037,670.9778960415,607.9663896652,733.1545508665,744.4593976015,410.8892030302,519.0972224213,684.820157207,749.0598558521,0.0,80.2767207958,495.577813737,111.531131344,123.7004346984
PWY-4702: phytate degradation I,4.9800218129,7.2274326067,0.0,10.0872416273,1259.9070913089,0.0,92.0480011378,33.1216633813,50.7917437522,4.5573753396,7.8513682345,0.5680204946,4.9773008012,37.5236665103,52.3959054971,13.652817325,9.741094647,23.8397524251,0.0,0.0,66.9663800814,0.0,20.2564922688,0.0,2.5701462012,0.8613264427,28.4175913516,48.4351702841,4.7004136039,99.1000050863
GLYCOCAT-PWY: glycogen degradation I (bacterial),139.4637241384,25.0624332335,195.3144374257,31.5291007113,223.5902335775,108.513564918,117.3802303528,217.9699486927,39.7363654781,59.7178368911,38.1221325197,52.2265682083,6.1821111039,44.2789137716,36.0440437288,34.407111247,21.0986005896,61.6506662647,405.4735557929,75.7370667966,108.6194692047,3.6625210619,10.9748472773,51.9675632322,13.5640645073,0.0,101.8102196081,88.6993171432,17.7397627866,22.8093648633
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff,229.2957299082,199.4832616294,153.2775872055,199.3409832164,1901.2383484536,42.8227857362,312.1890931237,404.5200289942,225.4288981139,61.134272719,49.4541208347,219.4904280396,141.9221658456,184.0031831512,323.5504149107,114.0922853013,418.2629598464,237.5162328164,3.7559659975,10.5296324864,46.9432725987,10.9694818951,49.9180045669,75.2096935934,70.2462567451,56.0726454106,409.3471155079,201.7526642792,54.0376916609,67.7300299594
PWY-4041: &gamma;-glutamyl cycle,77.168274895,22.0975016709,48.8967978737,71.42299443,1817.303625776,0.9479183327,186.8861184617,312.7383624399,99.115024913,21.5335965706,11.8821871909,133.9779701353,39.7573903062,87.3616851196,244.7587489178,47.6999060361,45.0974875021,47.2766361999,3.0250336779,7.2173015828,10.1471513805,0.0,1.4491199871,9.0002897462,6.6890519404,11.5619911214,72.8839339845,136.5628773554,23.3309141187,12.0905847632
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation,0.0,0.9910039596,0.0,0.0,1126.313390998,0.0,10.6815302363,40.0757311237,52.7522936363,2.1944286696,3.2733917288,0.0,7.4812136472,41.4259798822,0.0,5.8266024386,14.2715597247,19.4634048552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4522819013,78.3719686152,0.0,8.0745756739
PWY-7221: guanosine ribonucleotides de novo biosynthesis,2405.6470660988,2612.5883758788,2339.7276795458,2137.3620852827,2365.8991823843,2226.0610500589,1968.3157053175,1684.4291755901,1967.2112876872,2380.2735064748,2597.6839445688,1449.1949422709,1780.7816849687,1593.8766090857,1046.2656867713,1069.7789548333,2707.7099195598,2416.4105252152,1671.007491819,1710.1971084205,1983.0440193345,1078.5390368755,3201.5690784395,2802.2798192154,3719.0378229997,1880.5974189281,2632.8114454494,2857.5623096517,2439.7952171612,924.2074737387
PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate,33.4982895901,0.0,14.9896787905,17.1053909033,1169.2531539026,0.0,11.0429594893,105.9531895527,57.960322952,4.2635998838,2.1786067309,39.8222925766,17.3282633909,28.6589487069,68.2827404008,4.3530569583,15.2289549681,14.455551237,0.0,0.0,0.0,0.0,0.0,0.0,2.7953621784,0.0,14.7714893502,140.4940948744,3.8356934406,3.1504389397
"PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",5.4205921619,0.0,0.0,4.9124114209,0.0,0.0,25.342850239,0.0,0.0,0.0,0.0,0.0,0.0,4.3191796544,18.2337210844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV,3.0907507505,257.0535600727,64.1321257005,237.0766961589,38.5510886502,7.4181305411,63.2709898657,192.175364158,124.7216653637,191.9005426092,50.008935435,61.319991083,36.9728329167,63.1806396866,46.622861066,27.6440898683,9.3074634013,105.1957733966,58.979060677,25.0111919802,14.37674304,11.9208736726,0.0,25.3200229091,0.0,0.0,275.5100799021,300.8955855752,9.1378943341,4.9737504372
PWY-5136: fatty acid &beta;-oxidation II (peroxisome),88.7688700839,0.0,38.5251938703,108.088186791,118.9282096173,62.253517727,0.6096641038,8.7855550806,37.8413149007,20.4141952156,14.0612836284,97.7008506093,64.376520284,29.9209842816,151.1062448895,35.878619744,3.9879350458,81.1082149084,8.4124496036,70.2257836381,138.0205279565,30.1135712918,58.9719591322,49.1088548318,8.6075093061,0.0,3.6046144873,119.6838668186,10.6791929087,86.9756999019
PWY66-422: D-galactose degradation V (Leloir pathway),1592.9782897723,812.9547326958,1391.7632278658,1376.3201242858,1866.1877973401,1487.7249610783,399.0154306986,287.3271708083,168.3354619924,308.5043862189,321.4058231598,349.6036962515,114.3080406426,445.2873185878,305.5784443087,187.8301082061,549.1357033996,933.0576544787,1619.7486584754,1422.8422912692,1201.3200306346,617.2754496252,1614.393365074,1356.4306689233,2445.5555068379,616.2096068414,346.3067774752,730.4495548833,580.4981900225,263.1336665725
ANAEROFRUCAT-PWY: homolactic fermentation,669.9705540703,1025.4242734705,398.7185377263,725.8692081282,1756.2077613149,195.2093974256,862.208707332,826.6995553502,975.8598609009,627.7549697474,587.3903832987,673.1247818357,572.3741761926,986.2239800063,557.3896194616,328.2039638013,842.4118288784,717.5645212233,343.7197173664,142.2877729137,659.8301931236,94.6304107988,336.7589724165,1018.9598745273,538.4212370811,256.6702937737,1050.258331325,602.6853027299,602.9572976337,410.0555498421
PWY-7391: isoprene biosynthesis II (engineered),0.0,0.0,0.0,0.0,0.0,0.0,9.7317305226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1521125961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6472541536,0.0,0.0,0.0,0.0,0.0,0.0
PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast),1760.4671364147,907.790026901,2174.7949181084,1751.7070908528,2428.4337155081,1782.2947241671,654.2904064735,632.2989495672,307.2065379505,495.3889338132,475.4099376421,525.0901333991,292.4536024326,791.927880828,423.8437442725,259.2484794691,1268.8695225532,1579.197667269,1986.8286281087,1270.0807601209,1326.5611410799,787.3488391638,2002.112174023,1880.5523835257,2218.7400662656,272.5794834063,867.6773712002,1378.9408613422,567.9077151563,365.6902977755
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,275.4724023184,591.4984339917,454.7931993156,548.6165941319,1779.6908927947,371.0158933371,279.3805202179,45.1520669507,211.2761522109,62.8024995788,334.7107633543,312.2799395492,1039.4480863201,69.7460826419,211.7266090552,107.2719566906,693.8021914052,281.8777949629,12.0765310372,477.9088059771,167.1198958461,110.8390999796,800.6504130204,1146.0002153773,1326.0018783637,0.0,28.6366490035,541.9527200027,1036.3504369298,342.6761910136
PWY-7204: pyridoxal 5'-phosphate salvage II (plants),117.4186179821,112.2731182152,40.7869279046,46.4231904165,517.3246591686,0.0,450.4163136737,348.7026696715,402.9210955402,60.8988863547,29.8491848694,204.2272861153,40.6521235298,149.3970374883,94.7277665782,44.799840768,106.8238200539,82.3017237113,4.4965522509,0.0,26.0461168616,0.0,0.0,22.3621580086,4.4096273423,10.9322913214,236.7704494673,127.9350087628,24.7589480626,40.9844703519
PWY-5973: cis-vaccenate biosynthesis,938.3947687661,1305.3759782005,1218.1136448686,308.9939770075,1840.7357468886,1157.3955175889,1375.6847473248,1014.3762322151,1008.4742358478,1652.3991378052,1089.2812492365,1163.3179367246,1009.6028632008,1067.1618169311,782.3278247811,695.1406126655,1175.5791183164,1045.0534854324,290.1979894822,310.3102543355,799.7401805824,337.6567317987,843.4945953968,1095.9562691131,587.3849958809,1050.4414223302,1313.9903035107,1763.9310253922,667.4075598972,225.9842461554
PWY-5104: L-isoleucine biosynthesis IV,144.3585671521,0.0,0.0,795.2140077767,47.2191305135,521.0762805621,260.0919183468,44.5214597709,0.0,7.2610416652,20.7765552364,41.7709941187,39.1450591409,2.3450345261,204.6397238001,7.4055647361,0.0,7.0370195658,1193.9060580974,977.0173320915,832.0440925183,214.1580472014,1116.7590538957,373.5247359507,388.8562784756,0.0,27.3197186878,47.9900798124,144.6787837242,648.8417503732
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis,115.465484435,54.5096230125,130.5839335962,69.4511382639,1258.8306568446,0.0,329.4191663887,356.8490762219,203.2184099113,16.3021095088,25.2136189805,293.420100333,82.1485588241,92.3616535652,137.7680715107,54.2013513497,65.2465374352,80.2670447407,2.9243320774,0.0,32.5004829745,0.0,14.6612215003,37.7912510896,4.3595674211,17.0753534029,187.6981802788,233.4062257249,31.5031001247,34.6663092493
PWY-6263: superpathway of menaquinol-8 biosynthesis II,26.7348410265,0.0,104.5525461603,5.8301019161,0.0,0.0,161.1441974062,0.0,0.0,0.0,0.0,23.1685131875,0.0,59.9796456494,31.8225740255,16.1796826012,0.0,36.2924255029,12.6145900097,6.5622311823,26.6128656951,0.0,5.4735597989,26.6620932029,0.0,0.0,0.0,38.3407005192,22.9903192145,7.4911881955
PWY-5989: stearate biosynthesis II (bacteria and plants),329.2624558837,34.5435005896,91.9131442494,239.6840489153,1819.6370115466,415.7468124907,321.8181658882,437.2765834827,227.586471469,109.9190790295,16.9989683654,253.7151802026,23.6678327517,119.4106676205,325.8035573697,64.9027185022,144.496748351,51.7389056042,78.6939625775,225.4560847427,165.9408965043,100.6928081939,402.1570141584,180.4087121982,27.0703408195,54.8733718361,88.8374092898,181.6388877306,73.4412828791,109.11378769
PWY-7196: superpathway of pyrimidine ribonucleosides salvage,447.4678619058,191.8675906357,943.5114301027,329.6252731956,228.8850776807,553.4418974014,277.4471542287,0.0,0.0,85.8680681787,229.6869870228,33.4512228186,62.3127916277,161.4143532737,175.0840801062,41.1907529747,0.0,272.2134323271,637.6311539838,245.2412720909,549.5775385395,231.5507187343,354.9250557127,644.2843133067,476.0444636039,0.0,219.7378621892,284.3411366895,327.4338962662,207.2999354018
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate),174.8267210747,34.6418253132,102.1761950432,99.3131603115,1896.1247884506,19.5534033013,350.658761497,470.4881448994,233.9703936904,68.0230347282,17.1984089334,296.1573083391,23.7664307276,122.6329278212,339.56198345,65.7163603157,68.6777874299,52.4781986836,76.7611662202,8.1833110094,54.6075526512,0.0,16.1493114132,15.8256972058,26.9670240441,63.4478100189,91.8380828308,223.279424566,18.8480374598,114.9474138073
PWY-6876: isopropanol biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4466289652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0334799909,0.0
PENTOSE-P-PWY: pentose phosphate pathway,283.6687593194,181.3894254074,886.231805245,722.0313792074,1632.0874896517,116.6566617217,365.0615907348,516.400734045,255.2886289404,45.0984177989,33.4895280487,390.0870104335,112.2621491541,209.8939415099,514.1200425421,95.9884385255,853.1850993761,435.6883156095,120.8831171424,131.1506443374,200.391158517,176.3949010563,305.544242018,930.74106276,1609.2258969793,95.1548179246,849.5874343853,286.1467272424,614.2892130949,452.428082097
PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast),1022.5740286671,862.4107498395,352.9473659373,537.6921223529,755.2283682167,513.2598661413,670.8768222144,738.0057908044,1172.8085858657,679.6551565424,492.1119070016,594.4169294779,980.5723982451,554.019736506,373.0882595181,304.8400654003,1026.2874123583,803.2891581328,420.2906589117,314.6505799393,923.6379193228,439.257275033,262.3113132468,369.5101022658,559.0819132876,254.6404577654,796.6538912385,262.1715778183,446.0396307354,230.497112032
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate),320.2839606283,1012.437146673,180.9684069714,428.1712784264,2479.926835862,77.3036021508,1034.6799798602,1019.687680904,1507.0731247722,505.6004634726,518.2639174173,676.614424184,864.0561132694,732.1581115398,435.3383391473,223.1802265397,508.6918580341,383.8742676466,133.167400569,54.8062477303,318.0220486267,35.7440854675,139.2358627675,638.1388685546,217.4852250848,338.3056098278,988.8680201821,462.1589994403,321.1947296973,304.185827875
